email_id,customer_id,subject,feedback_text,priority,created_date,source
EML10011,CUS0131,Detailed Feedback regarding Delivery - BiryaniBox Visakhapatnam,"Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delivery resulted in soggy starters and cold biryani. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-04-01,Customer Email
EML10012,CUS0132,Detailed Feedback regarding Pricing - BiryaniBox Bengaluru,Overpriced and disappointing! Prices at BiryaniBox Bengaluru have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Bengaluru. 😍🍚❤️,Medium,2024-02-28,Customer Email
EML10013,CUS0133,Detailed Feedback regarding Packaging - BiryaniBox Chennai,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-05-04,Customer Email
EML10014,CUS0134,Detailed Feedback regarding Pricing - BiryaniBox Pune,Overpriced and disappointing! Prices at BiryaniBox Pune have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Pune.,Medium,2024-04-30,Customer Email
EML10015,CUS0135,Detailed Feedback regarding Delivery - BiryaniBox Mumbai,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Mumbai effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.",Critical,2024-07-11,Customer Email
EML10016,CUS0136,Detailed Feedback regarding Payment - BiryaniBox Vijayawada,"MuLtIpLe pAyMeNt oPtIoNs aVaIlAbLe iNcLuDiNg cReDiT CaRdS, dEbIt cArDs, NeTbAnKiNg, PaYtM, aNd aMaZoN PaY. cHeCkOuT WaS EfFoRtLeSs aNd iNsTaNt oTp vErIfIcAtIoN WoRkEd sMoOtHlY. iNvOiCe wAs iMmEdIaTeLy sEnT To mY ReGiStErEd eMaIl aNd pHoNe nUmBeR. gReAt fInTeCh iNtEgRaTiOn! FuRtHeRmOrE, tHe sTaFf hYgIeNe sTaNdArDs aNd oVeRaLl bRaNd cOnSiStEnCy aT BiRyAnIbOx vIjAyAwAdA ReMaIn cOmMeNdAbLe aCrOsS RePeAt vIsItS. wE LoOk fOrWaRd tO OrDeRiNg oUr nExT MeAl hErE SoOn.",Low,2024-03-23,Customer Email
EML10017,CUS0137,Detailed Feedback regarding Staff Behaviour - BiryaniBox Guntur,"Appalling staff behavior at BiryaniBox Guntur! The waiter was extremely rude, condescending, and indifferent when we politely inquired about our delayed order after 35 minutes of waiting. Rather than resolving the issue, he argued aggressively in front of other guests. Unprofessional conduct that ruined our lunch in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon. http://biryanibox.com/feedback-ref?id=9281",High,2024-07-12,Customer Email
EML10018,CUS0138,Detailed Feedback regarding App Issues - BiryaniBox Hyderabad,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Hyderabad has never been easier or faster. Kudos to the tech development team!",Low,19-Mar-2024,Customer Email
EML10019,CUS0139,Detailed Feedback regarding Pricing - BiryaniBox Visakhapatnam,"Affordable and satisfying meals for student groups and families alike. The portion size of the Special Dum Biryani is huge compared to competing restaurants in Visakhapatnam. Combined with seasonal discounts and cashbacks, BiryaniBox offers the best value biryani in town. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-06-21,Customer Email
EML10020,CUS0140,Detailed Feedback regarding Food Quality - BiryaniBox Bengaluru,"Extremely disappointed with our dinner order from BiryaniBox Bengaluru. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Bengaluru branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",Medium,2024-02-22,Customer Email
EML10021,CUS0141,Detailed Feedback regarding Waiting Time - BiryaniBox Chennai,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Chennai branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-03-29,Customer Email
EML10022,CUS0142,Detailed Feedback regarding Packaging - BiryaniBox Pune,"Disastrous packaging experience! The salan container burst inside the bag during transit, soaking the entire parcel in oily curry. The biryani box was crushed, and the raita spilled over the starters. Opening the bag was a complete mess, ruining our dining table and wasting half the food. BiryaniBox Pune needs to replace these cheap plastic lids immediately.",Low,2024-06-24,Customer Email
EML10023,CUS0143,Detailed Feedback regarding Pricing - BiryaniBox Mumbai,"Exceptional value for money at BiryaniBox Mumbai! The family biryani combo easily fed four adults with generous portions of juicy chicken, fragrant rice, two starters, and desserts. Applying the promotional coupon on the app gave us a flat 20% discount, making the meal amazingly affordable. Outstanding price-to-quality ratio in Mumbai. Highly recommended!",Critical,2024-06-11,Customer Email
EML10024,CUS0144,Detailed Feedback regarding Food Quality - BiryaniBox Vijayawada,"The Chicken Dum Biryani delivered today from BiryaniBox Vijayawada was dripping in excess oil, making the bottom layer of rice completely soggy. The spices tasted raw and unblended, causing severe stomach discomfort later in the evening. Quality has visibly declined at the Vijayawada branch over recent months. I cannot recommend this place until strict quality standards are restored.",High,2024-07-15,Customer Email
EML10025,CUS0145,Detailed Feedback regarding Waiting Time - BiryaniBox Guntur,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon. ⭐⭐⭐⭐⭐",High,2024-06-18,Customer Email
EML10026,CUS0146,Detailed Feedback regarding App Issues - BiryaniBox Hyderabad,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-06-06,Customer Email
EML10027,CUS0147,Detailed Feedback regarding Food Quality - BiryaniBox Visakhapatnam,"Visited BiryaniBox Visakhapatnam with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Visakhapatnam dining scene.",Low,2024-06-11,Customer Email
EML10028,CUS0148,Detailed Feedback regarding Waiting Time - BiryaniBox Bengaluru,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Bengaluru branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,18/02/2024,Customer Email
EML10029,CUS0149,Detailed Feedback regarding Payment - BiryaniBox Chennai,"Smooth and seamless payment experience on the official BiryaniBox app! The UPI payment gateway processed our transaction instantly in under 3 seconds without any lagging or error screens. I also received an instant 50 INR cashback coupon applied automatically to my wallet. Fast, secure, and hassle-free payment system for Chennai customers.",Low,2024-07-08,Customer Email
EML10030,CUS0150,Detailed Feedback regarding Pricing - BiryaniBox Pune,"Affordable and satisfying meals for student groups and families alike. The portion size of the Special Dum Biryani is huge compared to competing restaurants in Pune. Combined with seasonal discounts and cashbacks, BiryaniBox offers the best value biryani in town. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon. ⭐⭐⭐⭐⭐",Critical,2024-02-26,Customer Email
EML10031,,Detailed Feedback regarding Packaging - BiryaniBox Mumbai,"SuPeRb tAmPeR-PrOoF PaCkAgInG ThAt gUaRaNtEeS HyGiEnE AnD FrEsH FoOd dElIvErY. tHe aLuMiNuM HaNdI BoX PrEsErVeD ThE GhEe aRoMa oF ThE BiRyAnI PeRfEcTlY. sTaRtEr cOnTaInErS HaD StEaM VeNtS To pReVeNt mOiStUrE BuIlDuP, kEePiNg tHe cHiCkEn cRiSp. ExCeLlEnT PaCkAgInG StAnDaRdS ThAt oThEr rEsTaUrAnTs iN MuMbAi sHoUlD EmUlAtE. fUrThErMoRe, ThE StAfF HyGiEnE StAnDaRdS AnD OvErAlL BrAnD CoNsIsTeNcY At bIrYaNiBoX MuMbAi rEmAiN CoMmEnDaBlE AcRoSs rEpEaT ViSiTs. We lOoK FoRwArD To oRdErInG OuR NeXt mEaL HeRe sOoN.",High,2024-06-13,Customer Email
EML10032,CUS0152,Detailed Feedback regarding Delivery - BiryaniBox Vijayawada,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Vijayawada team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",Medium,2024-03-04,Customer Email
EML10033,CUS0153,Detailed Feedback regarding Pricing - BiryaniBox Guntur,"Exceptional value for money at BiryaniBox Guntur! The family biryani combo easily fed four adults with generous portions of juicy chicken, fragrant rice, two starters, and desserts. Applying the promotional coupon on the app gave us a flat 20% discount, making the meal amazingly affordable. Outstanding price-to-quality ratio in Guntur. Highly recommended!",Critical,2024-04-17,Customer Email
EML10034,CUS0154,Detailed Feedback regarding Payment - BiryaniBox Hyderabad,"Prompt refund processing when an item was out of stock! The auto-refund was credited back to my UPI bank account within 10 minutes with clear SMS updates. Transparent financial handling that builds immense trust with customers in Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon. www.swiggy.com/review/98214",High,2024-01-28,Customer Email
EML10035,CUS0155,Detailed Feedback regarding Payment - BiryaniBox Visakhapatnam,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryani order from BiryaniBox Visakhapatnam. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-02-24,Customer Email
EML10036,CUS0156,Detailed Feedback regarding Delivery - BiryaniBox Bengaluru,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Bengaluru effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.",High,2024-01-21,Customer Email
EML10037,CUS0157,Detailed Feedback regarding Staff Behaviour - BiryaniBox Chennai,"Kudos to the polite and efficient staff at the Chennai outlet! From the valet parking attendant to the floor manager, everyone greeted us with warm smiles. When our order was delayed by 5 minutes, the manager apologized humbly and offered a complimentary Double Ka Meetha dessert. Exemplary customer care! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-04-27,Customer Email
EML10038,CUS0158,Detailed Feedback regarding Pricing - BiryaniBox Pune,"Hidden charges and inflated prices ruined our ordering experience. The app displayed a lower price initially, but added excessive surge charges, packaging fees, and delivery markups at checkout. Not worth the steep cost for average tasting biryani. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-04-06,Customer Email
EML10039,CUS0159,Detailed Feedback regarding App Issues - BiryaniBox Mumbai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-06-29,Customer Email
EML10040,CUS0160,Detailed Feedback regarding Staff Behaviour - BiryaniBox Vijayawada,"Kudos to the polite and efficient staff at the Vijayawada outlet! From the valet parking attendant to the floor manager, everyone greeted us with warm smiles. When our order was delayed by 5 minutes, the manager apologized humbly and offered a complimentary Double Ka Meetha dessert. Exemplary customer care! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-01-31,Customer Email
EML10041,CUS0161,Detailed Feedback regarding Packaging - BiryaniBox Guntur,"The packaging quality from biryaniiBox Guntur is top-class! They use sturdy, eco-friendly tin containers with tamper-evident seals that lock in the heat and aroma effectively. The salan and raita were sealed in thick spill-proof pouches, preventing any messy leaks inside the outer paper bag. Unboxing felt premium and hygienic. Very impressed with the attention to packaging detail in Guntur.",Critical,2024-05-19,Customer Email
EML10042,CUS0162,Detailed Feedback regarding Payment - BiryaniBox Hyderabad,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryani order from BiryaniBox Hyderabad. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon. 😍🍚❤️",Medium,2024-02-25,Customer Email
EML10043,CUS0163,Detailed Feedback regarding Packaging - BiryaniBox Visakhapatnam,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Visakhapatnam. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-03-27,Customer Email
EML10044,CUS0164,Detailed Feedback regarding Staff Behaviour - BiryaniBox Bengaluru,"The restaurant personnel at BiryaniBox Bengaluru were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-03-10,Customer Email
EML10045,CUS0165,Detailed Feedback regarding App Issues - BiryaniBox Chennai,"Location GPS auto-detect places the delivery pin miles away from my actual residence in Chennai, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-06-25,Customer Email
EML10046,CUS0166,Detailed Feedback regarding App Issues - BiryaniBox Pune,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-01-12,Customer Email
EML10047,CUS0167,Detailed Feedback regarding App Issues - BiryaniBox Mumbai,"Frequent app glitches and login errors! My saved addresses and loyalty points vanished after the latest app update. Customer support chat feature within the app loops endlessly without connecting to an agent. Unusable mobile application! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-02-07,Customer Email
EML10048,CUS0168,Detailed Feedback regarding App Issues - BiryaniBox Vijayawada,"Frequent app glitches and login errors! My saved addresses and loyalty points vanished after the latest app update. Customer support chat feature within the app loops endlessly without connecting to an agent. Unusable mobile application! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-04-05,Customer Email
EML10049,CUS0169,Detailed Feedback regarding Payment - BiryaniBox Guntur,"Frustrating payment failure on the app! Money was debited twice from my bank account via UPI, but the app displayed an 'Order Failed' screen. Customer support phone lines were busy and chat bot provided zero assistance. It took 6 days of continuous follow-ups to get my hard-earned money refunded. Unreliable payment infrastructure!",Critical,2024-05-10,Customer Email
EML10050,CUS0170,Detailed Feedback regarding Food Quality - BiryaniBox Hyderabad,"Received cold and stale biryani from the Hyderabad outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",High,2024-02-26,Customer Email
EML10051,CUS0171,Detailed Feedback regarding Food Quality - BiryaniBox Visakhapatnam,"ViSiTeD BiRyAnIbOx vIsAkHaPaTnAm wItH CoLlEaGuEs fOr lUnCh aNd oRdErEd tHe mUtToN FrY PiEcE BiRyAnI AlOnG WiTh aPoLlO FiSh. ThE MeAt wAs tEnDeR, fAlLiNg oFf tHe bOnE EfFoRtLeSlY, aNd tHe gHeE FlAvOr iN ThE RiCe wAs rIcH WiThOuT FeElInG ExCeSsIvElY HeAvY. tHe sPiCeS WeRe pErFeCtLy bAlAnCeD, sAtIsFyInG EvErYoNe aT OuR TaBlE. tHe sTaRtErS WeRe sErVeD PiPiNg hOt wItH FrEsH OnIoN RiNgS AnD LeMoN WeDgEs. ExCeLlEnT CuLiNaRy qUaLiTy aNd gReAt vAlUe fOr mOnEy iN ThE ViSaKhApAtNaM DiNiNg sCeNe.",Medium,2024-03-04,Customer Email
EML10052,CUS0172,Detailed Feedback regarding Payment - BiryaniBox Bengaluru,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryani order from BiryaniBox Bengaluru. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-03-13,Customer Email
EML10053,CUS0173,Detailed Feedback regarding Food Quality - BiryaniBox Chennai,"   Extremely  disappointed  with  our  dinner  order  from  BiryaniBox  Chennai.  The  Mutton  Biryani  rice  tasted  burnt  and  overcooked,  while  the  mutton  pieces  were  tough  and  rubbery.  The  salan  was  excessively  salty  and  virtually  inedible.  We  expected  high  standards  from  the  Chennai  branch,  but  quality  control  was  completely  missing  today.  Wasted  our  money  and  had  to  order  food  elsewhere.  Immediate  kitchen  quality  inspection  is  required.   ",Medium,2024-07-02,Customer Email
EML10054,CUS0174,Detailed Feedback regarding Packaging - BiryaniBox Pune,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Pune. Even during a long transit across Pune, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.",Critical,2024-06-29,Customer Email
EML10055,CUS0175,Detailed Feedback regarding Payment - BiryaniBox Mumbai,"Failed card transaction error on the POS machine at Mumbai branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-04-23,Customer Email
EML10056,CUS0176,Detailed Feedback regarding Delivery - BiryaniBox Vijayawada,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Vijayawada team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",Low,2024-03-28,Customer Email
EML10057,CUS0177,Detailed Feedback regarding Delivery - BiryaniBox Guntur,"Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delivery resulted in soggy starters and cold biryani. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,05/07/2024,Customer Email
EML10058,CUS0178,Detailed Feedback regarding Staff Behaviour - BiryaniBox Hyderabad,"The management at the Hyderabad branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-06-17,Customer Email
EML10059,CUS0179,Detailed Feedback regarding Food Quality - BiryaniBox Visakhapatnam,"Received cold and stale biryani from the Visakhapatnam outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",High,2024-06-22,Customer Email
EML10060,CUS0180,Detailed Feedback regarding Packaging - BiryaniBox Bengaluru,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Bengaluru. Even during a long transit across Bengaluru, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.",Low,2024-06-27,Customer Email
EML10061,CUS0181,Detailed Feedback regarding Waiting Time - BiryaniBox Chennai,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chiken biryaniis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-02-21,Customer Email
EML10062,CUS0182,Detailed Feedback regarding Payment - BiryaniBox Pune,"Multiple payment options available including credit cards, debit cards, NetBanking, Paytm, and Amazon Pay. Checkout was effortless and instant OTP verification worked smoothly. Invoice was immediately sent to my registered email and phone number. Great fintech integration! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-05-24,Customer Email
EML10063,CUS0183,Detailed Feedback regarding App Issues - BiryaniBox Mumbai,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-05-30,Customer Email
EML10064,CUS0184,Detailed Feedback regarding Food Quality - BiryaniBox Vijayawada,"Received cold and stale biryani from the Vijayawada outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",Critical,2024-05-15,Customer Email
