post_id,platform,username,feedback_text,engagement,created_date,source
PST10011,Facebook,@bhavana_banerjee45,"The management at the Mumbai branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Mumbai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.","417 likes, 7 retweets/shares",2024-02-09,Social Media
PST10012,Twitter/X,@gautam_teja27,"Received cold and stale biryani from the Vijayawada outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.","242 likes, 16 retweets/shares",10-Jan-2024,Social Media
PST10013,Facebook,@ramya_iyer29,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Guntur! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.","25 likes, 47 retweets/shares",2024-05-14,Social Media
PST10014,LinkedIn,@lakshmi_varma81,"The Chicken Dum Biryani delivered today from BiryaniBox Hyderabad was dripping in excess oil, making the bottom layer of rice completely soggy. The spices tasted raw and unblended, causing severe stomach discomfort later in the evening. Quality has visibly declined at the Hyderabad branch over recent months. I cannot recommend this place until strict quality standards are restored.","13 likes, 25 retweets/shares",2024-07-11,Social Media
PST10015,LinkedIn,@karthik_raju11,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Visakhapatnam team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.","446 likes, 16 retweets/shares",2024-06-25,Social Media
PST10016,Instagram,@aditya_shah73,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.","386 likes, 53 retweets/shares",2024-03-05,Social Media
PST10017,Facebook,@divya_joshi89,"Very poor packaging quality. The delivery bag arrived torn at the bottom due to grease leakage from unsealed biryani containers. The food was lukewarm and unhygienic because the lid had popped open during transport. Unacceptable quality standards for a reputed brand like BiryaniBox in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.","193 likes, 59 retweets/shares",2024-06-10,Social Media
PST10018,LinkedIn,@tarun_chatterjee14,"FrUsTrAtInG PaYmEnT FaIlUrE On tHe aPp! MoNeY WaS DeBiTeD TwIcE FrOm mY BaNk aCcOuNt vIa uPi, BuT ThE ApP DiSpLaYeD An 'OrDeR FaIlEd' ScReEn. CuStOmEr sUpPoRt pHoNe lInEs wErE BuSy aNd cHaT BoT PrOvIdEd zErO AsSiStAnCe. It tOoK 6 DaYs oF CoNtInUoUs fOlLoW-UpS To gEt mY HaRd-eArNeD MoNeY ReFuNdEd. UnReLiAbLe pAyMeNt iNfRaStRuCtUrE!","360 likes, 4 retweets/shares",2024-05-27,Social Media
PST10019,Facebook,@aparna_pasupuleti82,"Failed card transaction error on the POS machine at Mumbai branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.","342 likes, 23 retweets/shares",2024-05-07,Social Media
PST10020,LinkedIn,@sravan_pillai4,"The management at the Vijayawada branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.","252 likes, 50 retweets/shares",2024-04-03,Social Media
PST10021,Twitter/X,@deepthi_sharma59,"Unacceptable delivery delay from BiryaniBox Guntur! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Guntur.","325 likes, 14 retweets/shares",2024-01-22,Social Media
PST10022,Twitter/X,@varun_singh19,"Very poor packaging quality. The delivery bag arrived torn at the bottom due to grease leakage from unsealed biryani containers. The food was lukewarm and unhygienic because the lid had popped open during transport. Unacceptable quality standards for a reputed brand like BiryaniBox in Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.","422 likes, 29 retweets/shares",2024-04-28,Social Media
PST10023,Instagram,@harini_nair94,"The restaurant personnel at BiryaniBox Visakhapatnam were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon. www.swiggy.com/review/98214","393 likes, 26 retweets/shares",2024-07-15,Social Media
PST10024,Facebook,@manoj_deshmukh41,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.","242 likes, 38 retweets/shares",2024-01-25,Social Media
PST10025,Facebook,@latha_das93,"Had an incredible dine-in experience at BiryaniBox Chennai! The waitstaff was exceptionally polite, welcoming, and attentive to our family's needs throughout dinner. The restaurant captain patiently guided us through the menu options and customized the spice level for our children. Service was prompt, hygienic, and courteous. Outstanding hospitality that sets a benchmark in Chennai.","322 likes, 21 retweets/shares",2024-03-25,Social Media
PST10026,Facebook,@rajesh_gupta63,"Prompt refund processing when an item was out of stock! The auto-refund was credited back to my UPI bank account within 10 minutes with clear SMS updates. Transparent financial handling that builds immense trust with customers in Pune. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.","398 likes, 49 retweets/shares",05-Jan-2024,Social Media
PST10027,Twitter/X,@sneha_shetty87,"   The  restaurant  personnel  at  BiryaniBox  Mumbai  were  professional  and  well  trained.  Staff  members  wore  masks  and  gloves,  maintaining  strict  hygiene  standards.  Orders  were  served  hot  and  fresh  with  minimal  waiting  time.  Their  friendly  attitude  made  our  celebration  memorable.  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Mumbai  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ","272 likes, 9 retweets/shares",2024-07-09,Social Media
PST10028,LinkedIn,@siddharth_rao81,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryanii was brought out right after. Smooth dining experience without tedious wating. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.","352 likes, 25 retweets/shares",2024-07-26,Social Media
PST10029,Facebook,@swathi_verma55,"We ordered the Hyderabadi Chicken Dum Biryani and Special Boneless Starter from the Guntur branch for a weekend family gathering. The aromatic basmati rice was cooked to perfection with rich ghee, cardamom, and authentic spices that elevated every bite. The chicken pieces were remarkably juicy and tender throughout. The mirchi ka salan and refreshing curd raita complemented the main dish beautifully. Portion size was very generous, easily satisfying our entire group. We will definitely order again soon.","275 likes, 8 retweets/shares",2024-04-28,Social Media
PST10030,Instagram,@venkatesh_kumar16,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Hyderabad. Even during a long transit across Hyderabad, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.","59 likes, 46 retweets/shares",2024-06-10,Social Media
PST10031,Facebook,@srinivas_kulkarni84,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.","208 likes, 30 retweets/shares",2024-06-26,Social Media
PST10032,Instagram,@vikram_roy21,"The packaging quality from BiryaniBox Bengaluru is top-class! They use sturdy, eco-friendly tin containers with tamper-evident seals that lock in the heat and aroma effectively. The salan and raita were sealed in thick spill-proof pouches, preventing any messy leaks inside the outer paper bag. Unboxing felt premium and hygienic. Very impressed with the attention to packaging detail in Bengaluru.","255 likes, 56 retweets/shares",2024-04-10,Social Media
PST10033,Facebook,@kavya_patel48,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Chennai has never been easier or faster. Kudos to the tech development team!","156 likes, 46 retweets/shares",2024-06-17,Social Media
PST10034,Instagram,@nikhil_gowda2,"Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delivery resulted in soggy starters and cold biryani. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.","270 likes, 29 retweets/shares",2024-02-19,Social Media
PST10035,LinkedIn,@keerthi_narayanan45,Overpriced and disappointing! Prices at BiryaniBox Mumbai have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Mumbai.,"301 likes, 36 retweets/shares",2024-05-24,Social Media
PST10036,Facebook,@ramesh_subramanian65,"Very reasonable pricing considering the premium basmati rice, high quality ingredients, and generous portion sizes. The executive lunch box is priced perfectly for working professionals in Vijayawada. Great combo offers and loyalty reward discounts make dining at BiryaniBox Vijayawada worth every single rupee spent. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.","310 likes, 44 retweets/shares",2024-01-31,Social Media
PST10037,Instagram,@narayana_reddy76,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.","298 likes, 25 retweets/shares",2024-07-12,Social Media
PST10038,Instagram,@sai_naidu36,"Superb tamper-proof packaging that guarantees hygiene and fresh food delivery. The aluminum handi box preserved the ghee aroma of the biryani perfectly. Starter containers had steam vents to prevent moisture buildup, keeping the chicken crisp. Excellent packaging standards that other restaurants in Hyderabad should emulate. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.","314 likes, 0 retweets/shares",2024-03-05,Social Media
PST10039,LinkedIn,@pooja_mehta15,"Received cold and stale biryani from the Visakhapatnam outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.","103 likes, 20 retweets/shares",2024-05-08,Social Media
PST10040,Facebook,@prasad_chowdary7,"Extremely poor delivery coordination. The rider assigned to our order got lost in Bengaluru and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly.","295 likes, 43 retweets/shares",2024-04-20,Social Media
PST10041,LinkedIn,@anusha_banerjee97,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Chennai team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.","337 likes, 29 retweets/shares",2024-01-08,Social Media
PST10042,Facebook,@suresh_teja95,"Visited BiryaniBox Pune with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Pune dining scene.","452 likes, 17 retweets/shares",2024-01-07,Social Media
PST10043,LinkedIn,@ananya_iyer7,"   Appalling  staff  behavior  at  BiryaniBox  Mumbai!  The  waiter  was  extremely  rude,  condescending,  and  indifferent  when  we  politely  inquired  about  our  delayed  order  after  35  minutes  of  waiting.  Rather  than  resolving  the  issue,  he  argued  aggressively  in  front  of  other  guests.  Unprofessional  conduct  that  ruined  our  lunch  in  Mumbai.  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Mumbai  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ","122 likes, 3 retweets/shares",2024-03-20,Social Media
PST10044,Facebook,@rahul_varma23,"The restaurant personnel at BiryaniBox Vijayawada were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.","430 likes, 54 retweets/shares",2024-06-06,Social Media
PST10045,Instagram,@meghana_raju2,"Visited BiryaniBox Guntur with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Guntur dining scene.","208 likes, 41 retweets/shares",2024-03-30,Social Media
PST10046,LinkedIn,@rohan_shah41,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.","339 likes, 12 retweets/shares",2024-05-08,Social Media
PST10047,Twitter/X,@sandhya_joshi31,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryani order from BiryaniBox Visakhapatnam. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.","154 likes, 9 retweets/shares",27/01/2024,Social Media
PST10048,Facebook,@mahesh_chatterjee83,"Excellent queue management system using SMS notifications. We were given a token number and received an automated text when our table was ready in 8 minutes. Organized and hassle-free waiting experience at the Bengaluru location. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.","14 likes, 31 retweets/shares",2024-06-28,Social Media
PST10049,LinkedIn,@priya_pasupuleti52,"The restaurant personnel at BiryaniBox Chennai were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.","66 likes, 31 retweets/shares",2024-05-21,Social Media
PST10050,LinkedIn,@arjun_pillai28,"ReCeIvEd cOlD AnD StAlE BiRyAnI FrOm tHe pUnE OuTlEt. ThE ChIcKeN PiEcEs hAd aN UnPlEaSaNt oDoR, iNdIcAtInG ThEy wErE ReHeAtEd lEfToVeRs rAtHeR ThAn fReShLy pRePaReD DuM BiRyAnI. tO MaKe mAtTeRs wOrSe, ThE RaItA HaD TuRnEd sOuR. wHeN We rAiSeD A CoMpLaInT, tHe rEsPoNsE WaS InDiFfErEnT. eXtReMeLy uNhYgIeNiC AnD PoOr fOoD QuAlItY ThAt cOmPlEtElY RuInEd oUr fAmIlY DiNnEr eXpErIeNcE.","204 likes, 23 retweets/shares",2024-02-22,Social Media
PST10051,Twitter/X,@bhavana_sharma72,"Visited BiryaniBox Mumbai with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Mumbai dining scene.","33 likes, 33 retweets/shares",2024-01-29,Social Media
PST10052,Facebook,@gautam_singh78,"<div class=""review-box"">Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delivery resulted in soggy starters and cold biryani. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.</div>","279 likes, 48 retweets/shares",2024-02-29,Social Media
PST10053,Instagram,@ramya_nair33,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.","212 likes, 35 retweets/shares",2024-04-24,Social Media
PST10054,Facebook,@lakshmi_deshmukh92,"Ordered dinner through the mobile app from the Hyderabad outlet. The Chicken 65 Biryani combo was absolutely delicious, brimming with authentic Hyderabadi flavor and freshly fried curry leaves. Basmati grains were long, separate, and fragrant. Packaging kept the meal piping hot until it reached our doorstep. It is rare to find such consistent quality across repeat orders. BiryaniBox has earned a loyal customer in me.","335 likes, 3 retweets/shares",2024-04-06,Social Media
PST10055,Instagram,@karthik_das50,"Zero waiting time on a busy Friday night at BiryaniBox Visakhapatnam! We were seated immediately upon arrival, and our order of Special Mutton Biryani was served piping hot within 10 minutes. The kitchen operates with incredible speed and efficiency in Visakhapatnam. Outstanding table turnover and kitchen management! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon. ⭐⭐⭐⭐⭐","419 likes, 11 retweets/shares",2024-04-10,Social Media
PST10056,Twitter/X,@aditya_gupta34,"We ordered the Hyderabadi Chicken Dum Biryani and Special Boneless Starter from the Bengaluru branch for a weekend family gathering. The aromatic basmati rice was cooked to perfection with rich ghee, cardamom, and authentic spices that elevated every bite. The chicken pieces were remarkably juicy and tender throughout. The mirchi ka salan and refreshing curd raita complemented the main dish beautifully. Portion size was very generous, easily satisfying our entire group. We will definitely order again soon. www.swiggy.com/review/98214","169 likes, 25 retweets/shares",2024-04-17,Social Media
PST10057,Facebook,@divya_shetty80,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.","294 likes, 1 retweets/shares",2024-01-30,Social Media
PST10058,Facebook,@tarun_rao69,"The management at the Pune branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Pune. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.","143 likes, 36 retweets/shares",2024-04-13,Social Media
PST10059,Instagram,@aparna_verma48,"Hidden charges and inflated prices ruined our ordering experience. The app displayed a lower price initially, but added excessive surge charges, packaging fees, and delivery markups at checkout. Not worth the steep cost for average tasting biryani. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.","88 likes, 15 retweets/shares",2024-07-27,Social Media
PST10060,Facebook,@sravan_kumar98,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.","289 likes, 41 retweets/shares",2024-04-02,Social Media
PST10061,LinkedIn,@deepthi_kulkarni55,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.","159 likes, 46 retweets/shares",2024-01-24,Social Media
PST10062,Instagram,@varun_roy75,"Received cold and stale biryani from the Hyderabad outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.","183 likes, 36 retweets/shares",2024-04-12,Social Media
PST10063,Instagram,@harini_patel67,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.","409 likes, 18 retweets/shares",2024-02-07,Social Media
PST10064,LinkedIn,@manoj_gowda85,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Bengaluru has never been easier or faster. Kudos to the tech development team! ⭐⭐⭐⭐⭐","36 likes, 31 retweets/shares",2024-07-23,Social Media
PST10065,LinkedIn,@latha_narayanan4,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Chennai effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.","88 likes, 59 retweets/shares",2024-01-22,Social Media
PST10066,Instagram,@rajesh_subramanian98,"Extremely disappointed with our dinner order from BiryaniBox Pune. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Pune branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.","423 likes, 0 retweets/shares",2024-05-19,Social Media
PST10067,Twitter/X,@sneha_reddy82,"The BiryaniBox app is plagued with severe bugs! It crashed three times while selecting delivery address in Mumbai, resetting my cart contents repeatedly. When I attempted payment, the screen froze on a blank white box. Worst user experience on Android. Please release an urgent bug fix update! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.","19 likes, 26 retweets/shares",2024-07-23,Social Media
PST10068,LinkedIn,@siddharth_naidu4,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Vijayawada. Even during a long transit across Vijayawada, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.","135 likes, 5 retweets/shares",2024-03-14,Social Media
