feedback_id,customer_id,order_id,restaurant_id,restaurant_name,delivery_time,rating,feedback_text,created_date,source
FB100511,CUS0071,ORD100161,RES008,BiryaniBox Mumbai,27 mins,5,"The packaging quality from biryaniiBox Mumbai is top-class! They use sturdy, eco-friendly tin containers with tamper-evident seals that lock in the heat and aroma effectively. The salan and raita were sealed in thick spill-proof pouches, preventing any messy leaks inside the outer paper bag. Unboxing felt premium and hygienic. Very impressed with the attention to packaging detail in Mumbai.",2024-03-05,Uber Eats
FB100512,CUS0072,ORD100162,RES001,BiryaniBox Vijayawada,44 mins,2,"Location GPS auto-detect places the delivery pin miles away from my actual residence in Vijayawada, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-23,Uber Eats
FB100513,CUS0073,ORD100163,RES002,BiryaniBox Guntur,36 mins,5,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Guntur effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.",2024-01-14,Uber Eats
FB100514,CUS0074,ORD100164,RES003,BiryaniBox Hyderabad,28 mins,2,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-13,Uber Eats
FB100515,CUS0075,ORD100165,RES004,BiryaniBox Visakhapatnam,26 mins,2,"<br/>No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Visakhapatnam. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-02,Uber Eats
FB100516,CUS0076,ORD100166,RES005,BiryaniBox Bengaluru,61 mins,5,"Multiple payment options available including credit cards, debit cards, NetBanking, Paytm, and Amazon Pay. Checkout was effortless and instant OTP verification worked smoothly. Invoice was immediately sent to my registered email and phone number. Great fintech integration! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-25,Uber Eats
FB100517,CUS0077,ORD100167,RES006,BiryaniBox Chennai,,5,"Visited BiryaniBox Chennai with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Chennai dining scene.",2024-07-07,Uber Eats
FB100518,CUS0078,ORD100168,RES007,BiryaniBox Pune,60 mins,2,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Pune branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-08,Uber Eats
FB100519,CUS0079,ORD100169,RES008,BiryaniBox Mumbai,44 mins,2,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Mumbai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-11,Uber Eats
FB100520,CUS0080,ORD100170,RES001,BiryaniBox Vijayawada,45 mins,1,"Extremely disappointed with our dinner order from BiryaniBox Vijayawada. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Vijayawada branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",2024-06-24,Uber Eats
FB100521,CUS0081,ORD100171,RES002,BiryaniBox Guntur,42 mins,1,"Unacceptable delivery delay from BiryaniBox Guntur! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Guntur.",2024-01-31,Uber Eats
FB100522,CUS0082,ORD100172,RES003,BiryaniBox Hyderabad,55 mins,,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Hyderabad has never been easier or faster. Kudos to the tech development team!",2024-02-16,Uber Eats
FB100523,CUS0083,ORD100173,RES004,BiryaniBox Visakhapatnam,36 mins,3,"The food arrived in decent condition. Container seals held up during transit, though the outer bag showed slight oil marks near the base. Food remained warm enough to eat without reheating. Average packaging quality that gets the job done for routine takeaway orders. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-15,Uber Eats
FB100524,CUS0084,ORD100174,RES005,BiryaniBox Bengaluru,55 mins,1,"   The  Chicken  Dum  Biryani  delivered  today  from  BiryaniBox  Bengaluru  was  dripping  in  excess  oil,  making  the  bottom  layer  of  rice  completely  soggy.  The  spices  tasted  raw  and  unblended,  causing  severe  stomach  discomfort  later  in  the  evening.  Quality  has  visibly  declined  at  the  Bengaluru  branch  over  recent  months.  I  cannot  recommend  this  place  until  strict  quality  standards  are  restored.   ",2024-05-29,Uber Eats
FB100525,CUS0085,ORD100175,RES006,BiryaniBox Chennai,41 mins,3,"Moderate waiting queue at the entrance. The host managed seating fairly, taking around 15 minutes to assign us a table for four. Standard weekend waiting time. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-06,Uber Eats
FB100526,CUS0086,ORD100176,RES007,BiryaniBox Pune,33 mins,1,"STOOD OUTSIDE IN THE HEAT FOR OVER 45 MINUTES DESPITE PRE-BOOKING A TABLE ONLINE! WHEN WE FINALLY GOT SEATED, THE KITCHEN TOOK ANOTHER 35 MINUTES TO BRING OUT TWO BASIC CHICKEN BIRYANIS. UNACCEPTABLE OPERATIONAL DELAYS THAT TEST CUSTOMER PATIENCE. FURTHERMORE, THE STAFF HYGIENE STANDARDS AND OVERALL BRAND CONSISTENCY AT BIRYANIBOX PUNE REMAIN COMMENDABLE ACROSS REPEAT VISITS. WE LOOK FORWARD TO ORDERING OUR NEXT MEAL HERE SOON.",2024-03-03,Uber Eats
FB100527,CUS0087,ORD100177,RES008,BiryaniBox Mumbai,,,"Failed card transaction error on the POS machine at Mumbai branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-12,Uber Eats
FB100528,CUS0088,ORD100178,RES001,BiryaniBox Vijayawada,59 mins,3,"The staff at BiryaniBox Vijayawada was professional but seemed overwhelmed by the weekend crowd in Vijayawada. Service was somewhat formal and hurried, though our table requests were eventually fulfilled. Standard hospitality overall, but hiring additional servers during peak hours would help ease staff stress. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-04,Uber Eats
FB100529,CUS0089,ORD100179,RES002,BiryaniBox Guntur,51 mins,3,"The staff at BiryaniBox Guntur was professional but seemed overwhelmed by the weekend crowd in Guntur. Service was somewhat formal and hurried, though our table requests were eventually fulfilled. Standard hospitality overall, but hiring additional servers during peak hours would help ease staff stress. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-07,Uber Eats
FB100530,CUS0090,ORD100180,RES003,BiryaniBox Hyderabad,29 mins,4,"Superb tamper-proof packaging that guarantees hygiene and fresh food delivery. The aluminum handi box preserved the ghee aroma of the biryani perfectly. Starter containers had steam vents to prevent moisture buildup, keeping the chicken crisp. Excellent packaging standards that other restaurants in Hyderabad should emulate. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-19,Uber Eats
FB100531,CUS0091,ORD100181,RES004,BiryaniBox Visakhapatnam,42 mins,3,"The restaurant personnel at BiryaniBox Visakhapatnam were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-23,Uber Eats
FB100532,CUS0092,ORD100182,RES005,BiryaniBox Bengaluru,58 mins,4,"   Zero  waiting  time  on  a  busy  Friday  night  at  BiryaniBox  Bengaluru!  We  were  seated  immediately  upon  arrival,  and  our  order  of  Special  Mutton  Biryani  was  served  piping  hot  within  10  minutes.  The  kitchen  operates  with  incredible  speed  and  efficiency  in  Bengaluru.  Outstanding  table  turnover  and  kitchen  management!  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Bengaluru  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ",2024-04-22,Uber Eats
FB100533,CUS0093,ORD100183,RES006,BiryaniBox Chennai,44 mins,1,"ThE ChIcKeN DuM BiRyAnI DeLiVeReD ToDaY FrOm bIrYaNiBoX ChEnNaI WaS DrIpPiNg iN ExCeSs oIl, MaKiNg tHe bOtToM LaYeR Of rIcE CoMpLeTeLy sOgGy. ThE SpIcEs tAsTeD RaW AnD UnBlEnDeD, cAuSiNg sEvErE StOmAcH DiScOmFoRt lAtEr iN ThE EvEnInG. qUaLiTy hAs vIsIbLy dEcLiNeD At tHe cHeNnAi bRaNcH OvEr rEcEnT MoNtHs. I CaNnOt rEcOmMeNd tHiS PlAcE UnTiL StRiCt qUaLiTy sTaNdArDs aRe rEsToReD.",2024-03-11,Uber Eats
FB100534,CUS0094,ORD100184,RES007,BiryaniBox Pune,56 mins,5,"Impressed by the ultra-fast delivery service from BiryaniBox Pune! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Pune.",2024-01-08,Uber Eats
FB100535,CUS0095,ORD100185,RES008,BiryaniBox Mumbai,54 mins,3,"Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delivery resulted in soggy starters and cold biryani. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-17,Uber Eats
FB100536,CUS0096,ORD100186,RES001,BiryaniBox Vijayawada,35 mins,3,"Frustrating payment failure on the app! Money was debited twice from my bank account via UPI, but the app displayed an 'Order Failed' screen. Customer support phone lines were busy and chat bot provided zero assistance. It took 6 days of continuous follow-ups to get my hard-earned money refunded. Unreliable payment infrastructure! 🛵💨⚡",04-Jul-2024,Uber Eats
FB100537,,ORD100187,RES002,BiryaniBox Guntur,55 mins,5,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Guntur team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",2024-05-26,Uber Eats
FB100538,CUS0098,ORD100188,RES003,BiryaniBox Hyderabad,57 mins,5,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Hyderabad team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently. 🤢🤮👎",2024-06-07,Uber Eats
FB100539,CUS0099,ORD100189,RES004,BiryaniBox Visakhapatnam,42 mins,5,"Ordered dinner through the mobile app from the Visakhapatnam outlet. The Chicken 65 Biryani combo was absolutely delicious, brimming with authentic Hyderabadi flavor and freshly fried curry leaves. Basmati grains were long, separate, and fragrant. Packaging kept the meal piping hot until it reached our doorstep. It is rare to find such consistent quality across repeat orders. BiryaniBox has earned a loyal customer in me.",2024-05-15,Uber Eats
FB100540,CUS0100,ORD100190,RES005,BiryaniBox Bengaluru,54 mins,3,"The packaging quality from BiryaniBox Bengaluru is top-class! They use sturdy, eco-friendly tin containers with tamper-evident seals that lock in the heat and aroma effectively. The salan and raita were sealed in thick spill-proof pouches, preventing any messy leaks inside the outer paper bag. Unboxing felt premium and hygienic. Very impressed with the attention to packaging detail in Bengaluru. 🛵💨⚡",2024-06-09,Uber Eats
FB100541,CUS0101,ORD100191,RES006,BiryaniBox Chennai,54 mins,4,"Impressed by the ultra-fast delivery service from BiryaniBox Chennai! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Chennai.",2024-05-09,Uber Eats
FB100542,CUS0102,ORD100192,RES007,BiryaniBox Pune,61 mins,3,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-14,Uber Eats
FB100543,CUS0103,ORD100193,RES008,BiryaniBox Mumbai,57 mins,1,"FaIlEd cArD TrAnSaCtIoN ErRoR On tHe pOs mAcHiNe aT MuMbAi bRaNcH. tHe cAsHiEr cHaRgEd mY CaRd tWiCe aSsErTiNg tHe fIrSt aTtEmPt fAiLeD, bUt bOtH AmOuNtS WeRe dEdUcTeD FrOm mY AcCoUnT. pOoR BiLlInG HaNdLiNg aNd uNhElPfUl rEsOlUtIoN FrOm bRaNcH MaNaGeMeNt. FuRtHeRmOrE, tHe sTaFf hYgIeNe sTaNdArDs aNd oVeRaLl bRaNd cOnSiStEnCy aT BiRyAnIbOx mUmBaI ReMaIn cOmMeNdAbLe aCrOsS RePeAt vIsItS. wE LoOk fOrWaRd tO OrDeRiNg oUr nExT MeAl hErE SoOn.",2024-03-06,Uber Eats
FB100544,CUS0104,ORD100194,RES001,BiryaniBox Vijayawada,42 mins,5,"The restaurant personnel at BiryaniBox Vijayawada were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon. ⭐⭐⭐⭐⭐",2024-02-03,Uber Eats
FB100545,CUS0105,ORD100195,RES002,BiryaniBox Guntur,58 mins,4,"Visited BiryaniBox Guntur with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Guntur dining scene.",2024-06-19,Uber Eats
FB100546,CUS0106,ORD100196,RES003,BiryaniBox Hyderabad,55 mins,5,"The restaurant personnel at BiryaniBox Hyderabad were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-29,Uber Eats
FB100547,CUS0107,ORD100197,RES004,BiryaniBox Visakhapatnam,39 mins,5,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Visakhapatnam. Even during a long transit across Visakhapatnam, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.",2024-01-13,Uber Eats
FB100548,CUS0108,ORD100198,RES005,BiryaniBox Bengaluru,59 mins,1,"Unacceptable delivery delay from BiryaniBox Bengaluru! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Bengaluru.",2024-07-07,Uber Eats
FB100549,CUS0109,ORD100199,RES006,BiryaniBox Chennai,45 mins,2,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-25,Uber Eats
FB100550,CUS0110,ORD100200,RES007,BiryaniBox Pune,35 mins,1,"Location GPS auto-detect places the delivery pin miles away from my actual residence in Pune, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon. 🛵💨⚡",2024-06-03,Uber Eats
FB100551,CUS0111,ORD100201,RES008,BiryaniBox Mumbai,49 mins,5,"Superb tamper-proof packaging that guarantees hygiene and fresh food delivery. The aluminum handi box preserved the ghee aroma of the biryani perfectly. Starter containers had steam vents to prevent moisture buildup, keeping the chicken crisp. Excellent packaging standards that other restaurants in Mumbai should emulate. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-18,Uber Eats
FB100552,CUS0112,ORD100202,RES001,BiryaniBox Vijayawada,44 mins,1,"Unacceptable delivery delay from BiryaniBox Vijayawada! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Vijayawada.",2024-07-21,Uber Eats
FB100553,CUS0113,ORD100203,RES002,BiryaniBox Guntur,25 mins,4,"Superb tamper-proof packaging that guarantees hygiene and fresh food delivery. The aluminum handi box preserved the ghee aroma of the biryani perfectly. Starter containers had steam vents to prevent moisture buildup, keeping the chicken crisp. Excellent packaging standards that other restaurants in Guntur should emulate. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-05,Uber Eats
FB100554,CUS0114,ORD100204,RES003,BiryaniBox Hyderabad,50 mins,5,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Hyderabad. Even during a long transit across Hyderabad, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.",20/03/2024,Uber Eats
FB100555,CUS0115,ORD100205,RES004,BiryaniBox Visakhapatnam,44 mins,2,"Extremely disappointed with our dinner order from BiryaniBox Visakhapatnam. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Visakhapatnam branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",2024-02-18,Uber Eats
FB100556,CUS0116,ORD100206,RES005,BiryaniBox Bengaluru,53 mins,1,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryani order from BiryaniBox Bengaluru. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",23/06/2024,Uber Eats
FB100557,CUS0117,ORD100207,RES006,BiryaniBox Chennai,29 mins,2,"Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delivery resulted in soggy starters and cold biryani. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-19,Uber Eats
FB100558,CUS0118,ORD100208,RES007,BiryaniBox Pune,59 mins,1,"Hidden charges and inflated prices ruined our ordering experience. The app displayed a lower price initially, but added excessive surge charges, packaging fees, and delivery markups at checkout. Not worth the steep cost for average tasting biryani. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon. 🛵💨⚡",2024-02-20,Uber Eats
FB100559,CUS0119,ORD100209,RES008,BiryaniBox Mumbai,31 mins,4,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Mumbai. Even during a long transit across Mumbai, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.",2024-03-24,Uber Eats
FB100560,CUS0120,ORD100210,RES001,BiryaniBox Vijayawada,56 mins,2,"Extremely disappointed with our dinner order from BiryaniBox Vijayawada. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Vijayawada branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",2024-06-16,Uber Eats
FB100561,CUS0121,ORD100211,RES002,BiryaniBox Guntur,52 mins,3,"   Appalling  staff  behavior  at  BiryaniBox  Guntur!  The  waiter  was  extremely  rude,  condescending,  and  indifferent  when  we  politely  inquired  about  our  delayed  order  after  35  minutes  of  waiting.  Rather  than  resolving  the  issue,  he  argued  aggressively  in  front  of  other  guests.  Unprofessional  conduct  that  ruined  our  lunch  in  Guntur.  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Guntur  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ",2024-01-17,Uber Eats
FB100562,CUS0122,ORD100212,RES003,BiryaniBox Hyderabad,28 mins,1,Overpriced and disappointing! Prices at BiryaniBox Hyderabad have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Hyderabad.,2024-04-21,Uber Eats
FB100563,CUS0123,ORD100213,RES004,BiryaniBox Visakhapatnam,38 mins,,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-11,Uber Eats
FB100564,CUS0124,ORD100214,RES005,BiryaniBox Bengaluru,54 mins,4,"Exceptional value for money at BiryaniBox Bengaluru! The family biryani combo easily fed four adults with generous portions of juicy chicken, fragrant rice, two starters, and desserts. Applying the promotional coupon on the app gave us a flat 20% discount, making the meal amazingly affordable. Outstanding price-to-quality ratio in Bengaluru. Highly recommended!",2024-05-15,Uber Eats
