feedback_id,source,app_name,feedback_text,rating,created_date,language,platform,feedback_length,feedback_word_count,has_question,has_exclamation,is_feature_request,issue_type,primary_issue_type,has_rating,has_feedback_text,review,Category,Sentiment,Priority,theme,pain_point
FDBK00141,Social Media,DoorDash,I did not receive the order confirmation notification. During a busy lunch period. I could not complete the task without retrying. Please fix this soon.,4.0,2026-05-26,Hindi,Web,152,25,0,0,0,notifications,notifications,1,1,I did not receive the order confirmation notification. During a busy lunch period. I could not complete the task without retrying. Please fix this soon.,Cart/Checkout,Negative,Medium,Notifications,Missing order confirmation notifications causing user uncertainty and requiring retries.
FDBK00142,Email,Zomato,Search results are not relevant to what I type. While using the latest app version. I could not complete the task without retrying. Please fix this soon.,3.0,2026-04-29,Hindi,Android,153,27,0,0,0,search,search,1,1,Search results are not relevant to what I type. While using the latest app version. I could not complete the task without retrying. Please fix this soon.,Search,Negative,Medium,Search Functionality,Irrelevant search results make it difficult to find desired items.
FDBK00143,Google Play,DoorDash,Items disappear from my cart before checkout. When trying to complete checkout. I could not complete the task without retrying. Please fix this soon.,,2026-05-06,Hindi,iOS,149,24,0,0,0,cart_checkout,cart_checkout,0,1,Items disappear from my cart before checkout. When trying to complete checkout. I could not complete the task without retrying. Please fix this soon.,Cart/Checkout,Negative,Medium,Shopping Cart,Cart items unexpectedly clear before completing checkout.
FDBK00144,Google Play,DoorDash,Please add dark mode to the app. After returning to the app. I could not complete the task without retrying. Please fix this soon.,,2026-04-06,Tamil,iOS,130,24,0,0,1,feature_request,feature_request,0,1,Please add dark mode to the app. After returning to the app. I could not complete the task without retrying. Please fix this soon.,Feature Request,Positive,Low,UI / Feature Request,Lack of dark mode feature affecting user preference and visual comfort.
FDBK00145,Email,Uber Eats,I cannot reach a real support agent through the app. While ordering from a saved address. I could not complete the task without retrying. Please fix this soon.,3.0,2026-05-17,English,iOS,159,28,0,0,0,customer_support|account,customer_support,1,1,I cannot reach a real support agent through the app. While ordering from a saved address. I could not complete the task without retrying. Please fix this soon.,Customer Support,Positive,Low,Customer Support,Inability to connect with a live customer support representative within the app.
FDBK00146,Support Ticket,Zomato,My saved address disappeared after the app update. When switching between wi-fi and mobile data. I could not complete the task without retrying. Please fix this soon.,3.0,2026-07-20,Tamil,Android,166,27,0,0,0,account,account,1,1,My saved address disappeared after the app update. When switching between wi-fi and mobile data. I could not complete the task without retrying. Please fix this soon.,General Feedback,Neutral,Low,Data Persistence / Account Management,Saved user address data was lost following an app update.
FDBK00147,Survey,Swiggy,The app gave an inaccurate delivery estimate. During the evening. I could not complete the task without retrying. Please fix this soon.,,2026-01-28,English,Web,135,22,0,0,0,general_product_feedback,general_product_feedback,0,1,The app gave an inaccurate delivery estimate. During the evening. I could not complete the task without retrying. Please fix this soon.,General Feedback,Negative,Medium,Delivery Estimates,Unreliable and inaccurate delivery time estimates.
FDBK00148,Social Media,Zomato,The app is easy to use and checkout is very smooth. After placing a second order. I could not complete the task without retrying. Please fix this soon.,5.0,2026-01-26,Hindi,Android,151,28,0,0,0,cart_checkout,cart_checkout,1,1,The app is easy to use and checkout is very smooth. After placing a second order. I could not complete the task without retrying. Please fix this soon.,Cart/Checkout,Positive,Low,User Experience / System Reliability,Forced retries or unexpected glitches despite an otherwise smooth checkout flow.
FDBK00149,Google Play,Uber Eats,The app crashes whenever I open the orders page. When several items are in the cart. I could not complete the task without retrying. Please fix this soon.,,2025-10-05,English,Web,154,28,0,0,0,app_crash|cart_checkout,app_crash,0,1,The app crashes whenever I open the orders page. When several items are in the cart. I could not complete the task without retrying. Please fix this soon.,App Crash,Negative,High,App Stability,App crashes consistently upon navigating to the orders page.
FDBK00150,Social Media,Zomato,The new interface is confusing and navigation takes too many steps. While checking a previous order. I could not complete the task without retrying. Please fix this soon.,3.0,2025-01-16,English,Web,170,28,0,0,0,ui_ux,ui_ux,1,1,The new interface is confusing and navigation takes too many steps. While checking a previous order. I could not complete the task without retrying. Please fix this soon.,UI/UX,Negative,Medium,UI/UX Navigation,"Confusing redesign and overly complex, multi-step navigation."
FDBK00151,Social Media,Uber Eats,The app takes too long to load even on a fast connection. After the latest update. It happened more than once. This needs attention.,4.0,2025-09-29,Tamil,Android,132,24,0,0,0,performance,performance,1,1,The app takes too long to load even on a fast connection. After the latest update. It happened more than once. This needs attention.,Performance,Positive,Low,App Performance,Slow loading speed post-update even on fast network connections
FDBK00152,Social Media,Uber Eats,I cannot log in after the latest update. On my android phone. It happened more than once. This needs attention.,2.0,2025-12-03,Telugu,Android,111,20,0,0,0,login_auth,login_auth,1,1,I cannot log in after the latest update. On my android phone. It happened more than once. This needs attention.,Login/Auth,Negative,High,User Authentication,Inability to log into the account on Android following an update
FDBK00153,Social Media,DoorDash,Money was deducted but the order was not confirmed. On my iphone. It happened more than once. This needs attention.,5.0,2025-12-03,English,Android,115,20,0,0,0,payment,payment,1,1,Money was deducted but the order was not confirmed. On my iphone. It happened more than once. This needs attention.,Payment,Positive,Low,Payment & Processing,Payment deduction occurred without confirming the order
FDBK00154,Social Media,Swiggy,The order tracking map stopped updating. When using mobile data. It happened more than once. This needs attention.,,2026-03-21,Hindi,Android,114,18,0,0,0,order_tracking,order_tracking,0,1,The order tracking map stopped updating. When using mobile data. It happened more than once. This needs attention.,Cart/Checkout,Negative,Medium,Order Tracking,Real-time tracking map freezes when connected via mobile data
FDBK00155,Support Ticket,Swiggy,I did not receive the order confirmation notification. After reopening the app. It happened more than once. This needs attention.,1.0,2025-11-03,English,iOS,129,20,0,0,0,notifications,notifications,1,1,I did not receive the order confirmation notification. After reopening the app. It happened more than once. This needs attention.,Cart/Checkout,Negative,High,Notifications,Missing push/in-app order confirmation notifications
FDBK00156,App Store,Grubhub,Search results are not relevant to what I type. During a busy lunch period. It happened more than once. This needs attention.,2.0,2026-01-19,Hindi,Android,125,22,0,0,0,search,search,1,1,Search results are not relevant to what I type. During a busy lunch period. It happened more than once. This needs attention.,Search,Negative,High,Search & Discovery,Irrelevant search query results impacting user product discovery
FDBK00157,Email,Uber Eats,Items disappear from my cart before checkout. While using the latest app version. It happened more than once. This needs attention.,1.0,2025-06-24,Telugu,Android,131,21,0,0,0,cart_checkout,cart_checkout,1,1,Items disappear from my cart before checkout. While using the latest app version. It happened more than once. This needs attention.,Cart/Checkout,Negative,High,Shopping Cart,Cart contents unexpectedly clearing prior to checkout completion
FDBK00158,Survey,DoorDash,Please add dark mode to the app. When trying to complete checkout. It happened more than once. This needs attention.,2.0,2026-05-25,Hindi,iOS,116,20,0,0,1,cart_checkout|feature_request,cart_checkout,1,1,Please add dark mode to the app. When trying to complete checkout. It happened more than once. This needs attention.,Cart/Checkout,Positive,Low,UI/UX Enhancements,Lack of dark mode interface customization feature
FDBK00159,Social Media,Grubhub,I cannot reach a real support agent through the app. After returning to the app. It happened more than once. This needs attention.,2.0,2025-01-10,English,Android,130,23,0,0,0,customer_support,customer_support,1,1,I cannot reach a real support agent through the app. After returning to the app. It happened more than once. This needs attention.,Customer Support,Positive,Low,Customer Support,Inability to connect with live human support agents via in-app channels
FDBK00160,Support Ticket,Uber Eats,My saved address disappeared after the app update. While ordering from a saved address. It happened more than once. This needs attention.,4.0,2026-03-29,Tamil,iOS,137,22,0,0,0,account,account,1,1,My saved address disappeared after the app update. While ordering from a saved address. It happened more than once. This needs attention.,Cart/Checkout,Positive,Low,Account Data Management,Loss of user-saved address data following an app update
FDBK00161,Survey,Uber Eats,The app gave an inaccurate delivery estimate. When switching between wi-fi and mobile data. It happened more than once. This needs attention.,2.0,2026-04-13,English,Android,141,22,0,0,0,general_product_feedback,general_product_feedback,1,1,The app gave an inaccurate delivery estimate. When switching between wi-fi and mobile data. It happened more than once. This needs attention.,General Feedback,Negative,High,Delivery Estimates,Inaccurate delivery time estimates when switching network connections.
FDBK00162,Support Ticket,DoorDash,The app is easy to use and checkout is very smooth. During the evening. It happened more than once. This needs attention.,5.0,2026-01-26,English,Web,121,22,0,0,0,cart_checkout,cart_checkout,1,1,The app is easy to use and checkout is very smooth. During the evening. It happened more than once. This needs attention.,Cart/Checkout,Positive,Low,User Experience / Checkout,None identified (positive feedback submitted with automated error-reporting text).
FDBK00163,Social Media,Swiggy,The app crashes whenever I open the orders page. After placing a second order. It happened more than once. This needs attention.,4.0,2025-10-09,Telugu,Web,128,22,0,0,0,app_crash,app_crash,1,1,The app crashes whenever I open the orders page. After placing a second order. It happened more than once. This needs attention.,App Crash,Positive,High,App Stability,App crashes when attempting to view the orders page after placing multiple orders.
FDBK00164,Support Ticket,Zomato,The new interface is confusing and navigation takes too many steps. When several items are in the cart. It happened more than once. This needs attention.,4.0,2025-10-21,Tamil,Android,153,26,0,0,0,ui_ux|cart_checkout,ui_ux,1,1,The new interface is confusing and navigation takes too many steps. When several items are in the cart. It happened more than once. This needs attention.,UI/UX,Negative,Medium,UI/UX Navigation,Confusing interface and overly complex navigation when managing multiple cart items.
FDBK00165,Google Play,Swiggy,The app takes too long to load even on a fast connection. While checking a previous order. It happened more than once. This needs attention.,5.0,2025-09-14,English,Web,140,25,0,0,0,performance,performance,1,1,The app takes too long to load even on a fast connection. While checking a previous order. It happened more than once. This needs attention.,Performance,Positive,Low,Performance & Speed,Slow app loading times when attempting to view order history.
FDBK00166,App Store,Swiggy,I cannot log in after the latest update. After the latest update. This has happened several times today. This needs attention.,5.0,2025-04-02,English,iOS,126,21,0,0,0,login_auth,login_auth,1,1,I cannot log in after the latest update. After the latest update. This has happened several times today. This needs attention.,Login/Auth,Positive,Low,Authentication,Users are blocked from logging in following the recent app update.
FDBK00167,App Store,Grubhub,Money was deducted but the order was not confirmed. On my android phone. This has happened several times today. This needs attention.,2.0,2026-02-03,English,iOS,133,22,0,0,0,payment,payment,1,1,Money was deducted but the order was not confirmed. On my android phone. This has happened several times today. This needs attention.,Payment,Negative,High,Payments & Processing,Payment is debited without successful order confirmation on Android devices.
FDBK00168,Survey,DoorDash,The order tracking map stopped updating. On my iphone. This has happened several times today. This needs attention.,,2025-06-18,Tamil,iOS,115,18,0,0,0,order_tracking,order_tracking,0,1,The order tracking map stopped updating. On my iphone. This has happened several times today. This needs attention.,Cart/Checkout,Negative,Medium,Order Tracking,Live tracking map freezes and stops providing real-time updates on iOS devices.
FDBK00169,App Store,Zomato,I did not receive the order confirmation notification. When using mobile data. This has happened several times today. This needs attention.,1.0,2025-04-28,Tamil,Web,139,21,0,0,0,notifications,notifications,1,1,I did not receive the order confirmation notification. When using mobile data. This has happened several times today. This needs attention.,Cart/Checkout,Negative,High,Notifications,Order confirmation push/system notifications fail to deliver on cellular data connections.
FDBK00170,Survey,Swiggy,Search results are not relevant to what I type. After reopening the app. This has happened several times today. This needs attention.,1.0,2026-07-25,English,Android,133,22,0,0,0,search,search,1,1,Search results are not relevant to what I type. After reopening the app. This has happened several times today. This needs attention.,Search,Negative,High,Search & Discovery,Search algorithm delivers irrelevant results after the app is reopened.
FDBK00171,Social Media,DoorDash,Items disappear from my cart before checkout. During a busy lunch period. This has happened several times today. This needs attention.,5.0,2026-11-04,Telugu,Web,134,21,0,0,0,cart_checkout,cart_checkout,1,1,Items disappear from my cart before checkout. During a busy lunch period. This has happened several times today. This needs attention.,Cart/Checkout,Negative,Medium,Shopping Cart,Items automatically disappear from the cart prior to completing checkout.
FDBK00172,App Store,Uber Eats,Please add dark mode to the app. While using the latest app version. This has happened several times today. This needs attention.,5.0,2026-01-16,English,iOS,129,22,0,0,1,feature_request,feature_request,1,1,Please add dark mode to the app. While using the latest app version. This has happened several times today. This needs attention.,Feature Request,Positive,Low,Feature Request,Lack of a dark mode option in the user interface.
FDBK00173,Survey,DoorDash,I cannot reach a real support agent through the app. When trying to complete checkout. This has happened several times today. This needs attention.,5.0,2025-08-15,Tamil,Web,147,24,0,0,0,cart_checkout|customer_support,cart_checkout,1,1,I cannot reach a real support agent through the app. When trying to complete checkout. This has happened several times today. This needs attention.,Customer Support,Positive,Low,Customer Support,Inability to contact a live support representative through the app.
FDBK00174,Google Play,DoorDash,My saved address disappeared after the app update. After returning to the app. This has happened several times today. This needs attention.,1.0,2025-04-30,Hindi,Android,139,22,0,0,0,account,account,1,1,My saved address disappeared after the app update. After returning to the app. This has happened several times today. This needs attention.,General Feedback,Positive,Low,Data Retention & Updates,Saved user address was cleared/lost after updating the app.
FDBK00175,App Store,Uber Eats,The app gave an inaccurate delivery estimate. While ordering from a saved address. This has happened several times today. This needs attention.,4.0,2025-10-04,Hindi,iOS,143,22,0,0,0,account,account,1,1,The app gave an inaccurate delivery estimate. While ordering from a saved address. This has happened several times today. This needs attention.,Cart/Checkout,Positive,Low,Delivery Services,Inaccurate delivery time estimations provided to the user.
FDBK00176,Social Media,Zomato,The app is easy to use and checkout is very smooth. When switching between wi-fi and mobile data. This has happened several times today. This needs attention.,5.0,2026-07-08,Hindi,Android,158,27,0,0,0,cart_checkout,cart_checkout,1,1,The app is easy to use and checkout is very smooth. When switching between wi-fi and mobile data. This has happened several times today. This needs attention.,Cart/Checkout,Positive,Low,User Experience,None (Positive feedback regarding app usability and checkout).
FDBK00177,Google Play,DoorDash,The app crashes whenever I open the orders page. During the evening. This has happened several times today. This needs attention.,2.0,2026-05-17,English,Web,129,21,0,0,0,app_crash,app_crash,1,1,The app crashes whenever I open the orders page. During the evening. This has happened several times today. This needs attention.,App Crash,Negative,High,App Stability,Application crashes consistently upon opening the orders page.
FDBK00178,Support Ticket,Swiggy,The new interface is confusing and navigation takes too many steps. After placing a second order. This has happened several times today. This needs attention.,,2026-01-04,Tamil,iOS,158,25,0,0,0,ui_ux,ui_ux,0,1,The new interface is confusing and navigation takes too many steps. After placing a second order. This has happened several times today. This needs attention.,UI/UX,Negative,Medium,UI/UX Design,Confusing interface design requiring excessive steps to navigate.
FDBK00179,Survey,DoorDash,The app takes too long to load even on a fast connection. When several items are in the cart. This has happened several times today. This needs attention.,1.0,2026-12-07,English,Android,154,28,0,0,0,performance|cart_checkout,performance,1,1,The app takes too long to load even on a fast connection. When several items are in the cart. This has happened several times today. This needs attention.,Performance,Negative,High,App Performance,Slow loading times regardless of internet connection speed.
FDBK00180,App Store,Grubhub,I cannot log in after the latest update. While checking a previous order. This has happened several times today. This needs attention.,5.0,2026-04-11,English,Android,134,22,0,0,0,login_auth,login_auth,1,1,I cannot log in after the latest update. While checking a previous order. This has happened several times today. This needs attention.,Login/Auth,Positive,Low,Authentication,Users are unable to log in following a recent app update.
FDBK00181,Email,Zomato,Money was deducted but the order was not confirmed. After the latest update. I had to restart the app to continue. This needs attention.,2.0,2025-08-12,English,Android,136,24,0,0,0,payment,payment,1,1,Money was deducted but the order was not confirmed. After the latest update. I had to restart the app to continue. This needs attention.,Payment,Negative,High,Payment & Order Processing,Payment deducted without order confirmation
FDBK00182,App Store,Grubhub,The order tracking map stopped updating. On my android phone. I had to restart the app to continue. This needs attention.,2.0,2025-10-08,English,iOS,121,21,0,0,0,order_tracking,order_tracking,1,1,The order tracking map stopped updating. On my android phone. I had to restart the app to continue. This needs attention.,Cart/Checkout,Negative,High,Order Tracking,Real-time order tracking map stops updating
FDBK00183,Support Ticket,Zomato,I did not receive the order confirmation notification. On my iphone. I had to restart the app to continue. This needs attention.,4.0,2025-05-29,English,Android,128,22,0,0,0,notifications,notifications,1,1,I did not receive the order confirmation notification. On my iphone. I had to restart the app to continue. This needs attention.,Cart/Checkout,Positive,Low,Notifications,Missing order confirmation push notifications
FDBK00184,App Store,Grubhub,Search results are not relevant to what I type. When using mobile data. I had to restart the app to continue. This needs attention.,2.0,2025-05-15,English,Android,131,24,0,0,0,search,search,1,1,Search results are not relevant to what I type. When using mobile data. I had to restart the app to continue. This needs attention.,Search,Negative,High,Search Functionality,Inaccurate and irrelevant search results
FDBK00185,App Store,Uber Eats,Items disappear from my cart before checkout. After reopening the app. I had to restart the app to continue. This needs attention.,1.0,2025-06-28,Telugu,Android,130,22,0,0,0,cart_checkout,cart_checkout,1,1,Items disappear from my cart before checkout. After reopening the app. I had to restart the app to continue. This needs attention.,Cart/Checkout,Negative,High,Cart & Session Management,Shopping cart items disappear prior to checkout
FDBK00186,Support Ticket,Grubhub,Please add dark mode to the app. During a busy lunch period. I had to restart the app to continue. This needs attention.,3.0,2025-03-07,Telugu,Android,120,23,0,0,1,feature_request,feature_request,1,1,Please add dark mode to the app. During a busy lunch period. I had to restart the app to continue. This needs attention.,Feature Request,Positive,Low,User Interface & Feature Request,Lack of dark mode feature support
FDBK00187,Google Play,Grubhub,I cannot reach a real support agent through the app. While using the latest app version. I had to restart the app to continue. This needs attention.,4.0,2026-08-04,English,Web,148,27,0,0,0,customer_support,customer_support,1,1,I cannot reach a real support agent through the app. While using the latest app version. I had to restart the app to continue. This needs attention.,Customer Support,Positive,Low,Customer Support,Inability to connect with a live support representative
FDBK00188,Survey,Uber Eats,My saved address disappeared after the app update. When trying to complete checkout. I had to restart the app to continue. This needs attention.,3.0,2025-02-01,Tamil,Android,144,24,0,0,0,cart_checkout|account,cart_checkout,1,1,My saved address disappeared after the app update. When trying to complete checkout. I had to restart the app to continue. This needs attention.,Cart/Checkout,Positive,Low,User Data & Account Management,Saved user addresses lost after app update
FDBK00189,Google Play,DoorDash,The app gave an inaccurate delivery estimate. After returning to the app. I had to restart the app to continue. This needs attention.,1.0,2026-05-18,Telugu,Android,133,23,0,0,0,general_product_feedback,general_product_feedback,1,1,The app gave an inaccurate delivery estimate. After returning to the app. I had to restart the app to continue. This needs attention.,General Feedback,Negative,High,Delivery Estimation,Inaccurate ETA delivery calculations
FDBK00190,Email,Grubhub,The app is easy to use and checkout is very smooth. While ordering from a saved address. I had to restart the app to continue. This needs attention.,5.0,2025-09-03,Telugu,iOS,148,28,0,0,0,cart_checkout|account,cart_checkout,1,1,The app is easy to use and checkout is very smooth. While ordering from a saved address. I had to restart the app to continue. This needs attention.,Cart/Checkout,Positive,Low,App Stability & Performance,Forced app restart during active user session
FDBK00191,Email,Grubhub,The app crashes whenever I open the orders page. When switching between wi-fi and mobile data. I had to restart the app to continue. This needs attention.,3.0,2026-01-26,Hindi,Android,154,27,0,0,0,app_crash,app_crash,1,1,The app crashes whenever I open the orders page. When switching between wi-fi and mobile data. I had to restart the app to continue. This needs attention.,App Crash,Neutral,High,App Stability,App crashes when opening the orders page.
FDBK00192,Survey,Zomato,The new interface is confusing and navigation takes too many steps. During the evening. I had to restart the app to continue. This needs attention.,3.0,2025-04-28,Hindi,iOS,147,25,0,0,0,ui_ux,ui_ux,1,1,The new interface is confusing and navigation takes too many steps. During the evening. I had to restart the app to continue. This needs attention.,UI/UX,Negative,Medium,User Experience & Navigation,Confusing interface and overly complex navigation steps.
FDBK00193,Social Media,Swiggy,The app takes too long to load even on a fast connection. After placing a second order. I had to restart the app to continue. This needs attention.,3.0,2026-04-10,English,Web,147,28,0,0,0,performance,performance,1,1,The app takes too long to load even on a fast connection. After placing a second order. I had to restart the app to continue. This needs attention.,Performance,Neutral,Low,Performance & Speed,Excessive app loading times despite a fast network connection.
FDBK00194,App Store,Uber Eats,I cannot log in after the latest update. When several items are in the cart. I had to restart the app to continue. This needs attention.,2.0,2025-11-17,English,Android,136,26,0,0,0,login_auth|cart_checkout,login_auth,1,1,I cannot log in after the latest update. When several items are in the cart. I had to restart the app to continue. This needs attention.,Login/Auth,Negative,High,Authentication,Inability to log in following a recent app update.
FDBK00195,Google Play,DoorDash,Money was deducted but the order was not confirmed. While checking a previous order. I had to restart the app to continue. This needs attention.,3.0,2025-03-29,English,Android,144,25,0,0,0,payment,payment,1,1,Money was deducted but the order was not confirmed. While checking a previous order. I had to restart the app to continue. This needs attention.,Payment,Neutral,Low,Payment & Order Processing,Payment is charged without issuing an order confirmation.
FDBK00196,Google Play,Uber Eats,The order tracking map stopped updating. After the latest update. I had to try the same action again. This needs attention.,5.0,2026-07-30,English,Web,123,21,0,0,0,order_tracking,order_tracking,1,1,The order tracking map stopped updating. After the latest update. I had to try the same action again. This needs attention.,Cart/Checkout,Negative,Medium,Order Tracking,Order tracking map freezes and stops updating in real time.
FDBK00197,Support Ticket,DoorDash,I did not receive the order confirmation notification. On my android phone. I had to try the same action again. This needs attention.,4.0,2025-02-22,English,Android,133,23,0,0,0,notifications,notifications,1,1,I did not receive the order confirmation notification. On my android phone. I had to try the same action again. This needs attention.,Cart/Checkout,Positive,Low,Notifications,Failure to receive order confirmation notifications.
