feedback_id,source,app_name,feedback_text,rating,created_date,language,platform
FDBK00080,Survey,Grubhub,The chicken was undercooked. After reopening the app. The issue is still happening. Please fix this soon.,,28-06-2026,Tamil,Web
FDBK00081,Social Media,Uber Eats,The food was cold when it arrived. During a busy lunch period. The issue is still happening. Please fix this soon.,2.0,"Jul 16, 2026",Hindi,iOS
FDBK00082,Email,Uber Eats,The biryani tasted amazing and was very fresh. While using the latest app version. The issue is still happening. Please fix this soon.,,11-09-2025,Tamil,Android
FDBK00083,Social Media,DoorDash,The restaurant staff were rude. When trying to complete checkout. The issue is still happening. Please fix this soon.,1.0,"Oct 09, 2025",English,iOS
FDBK00084,Google Play,Zomato,The portion size was too small for the price. After returning to the app. The issue is still happening. Please fix this soon.,4.0,10-12-2025,English,Android
FDBK00085,App Store,Swiggy,The restaurant packaging was damaged. While ordering from a saved address. The issue is still happening. Please fix this soon.,5.0,28/01/2026,Hindi,Web
FDBK00086,Google Play,Zomato,The food was too spicy and oily. When switching between wi-fi and mobile data. The issue is still happening. Please fix this soon.,3.0,"Dec 05, 2025",Hindi,Web
FDBK00087,Google Play,DoorDash,The restaurant ambience was excellent. During the evening. The issue is still happening. Please fix this soon.,3.0,"Jan 21, 2025",English,Web
FDBK00088,App Store,DoorDash,The chicken was undercooked. After placing a second order. The issue is still happening. Please fix this soon.,3.0,06/03/2026,Hindi,Web
FDBK00089,Social Media,Uber Eats,The food was cold when it arrived. When several items are in the cart. The issue is still happening. Please fix this soon.,2.0,"Jan 30, 2025",Tamil,Android
FDBK00090,Email,Swiggy,The biryani tasted amazing and was very fresh. While checking a previous order. The issue is still happening. Please fix this soon.,4.0,24/04/2026,Hindi,Android
FDBK00091,Survey,Zomato,The restaurant staff were rude. After the latest update. This worked correctly before. Please fix this soon.,2.0,"Mar 27, 2025",English,iOS
FDBK00092,Survey,DoorDash,The portion size was too small for the price. On my android phone. This worked correctly before. Please fix this soon.,2.0,24-01-2026,English,Web
FDBK00093,Google Play,Uber Eats,The restaurant packaging was damaged. On my iphone. This worked correctly before. Please fix this soon.,2.0,"Oct 12, 2025",English,Android
FDBK00094,Google Play,Swiggy,The food was too spicy and oily. When using mobile data. This worked correctly before. Please fix this soon.,5.0,25/12/2025,English,Android
FDBK00095,App Store,Zomato,The restaurant ambience was excellent. After reopening the app. This worked correctly before. Please fix this soon.,4.0,2025-07-24,English,Web
FDBK00096,Social Media,DoorDash,The chicken was undercooked. During a busy lunch period. This worked correctly before. Please fix this soon.,3.0,28/04/2025,English,Android
FDBK00097,Google Play,Grubhub,The food was cold when it arrived. While using the latest app version. This worked correctly before. Please fix this soon.,2.0,28/04/2025,English,iOS
FDBK00098,App Store,Swiggy,The biryani tasted amazing and was very fresh. When trying to complete checkout. This worked correctly before. Please fix this soon.,5.0,"Jan 20, 2026",Telugu,Android
FDBK00099,Social Media,Grubhub,The restaurant staff were rude. After returning to the app. This worked correctly before. Please fix this soon.,,15-04-2025,English,Android
FDBK00100,Support Ticket,Swiggy,The portion size was too small for the price. While ordering from a saved address. This worked correctly before. Please fix this soon.,5.0,"Dec 22, 2025",Telugu,iOS
FDBK00101,Survey,Swiggy,The restaurant packaging was damaged. When switching between wi-fi and mobile data. This worked correctly before. Please fix this soon.,,"Jan 13, 2025",Hindi,iOS
FDBK00102,App Store,Grubhub,The food was too spicy and oily. During the evening. This worked correctly before. Please fix this soon.,3.0,16/04/2026,Tamil,iOS
FDBK00103,Survey,Grubhub,The restaurant ambience was excellent. After placing a second order. This worked correctly before. Please fix this soon.,3.0,"Jul 06, 2026",English,iOS
FDBK00104,Survey,Zomato,The chicken was undercooked. When several items are in the cart. This worked correctly before. Please fix this soon.,2.0,2025-09-09,Hindi,Web
FDBK00105,Support Ticket,Zomato,The food was cold when it arrived. While checking a previous order. This worked correctly before. Please fix this soon.,3.0,2025-12-11,Hindi,Android
FDBK00106,Support Ticket,Grubhub,The biryani tasted amazing and was very fresh. After the latest update. I expected the app to handle this more smoothly. Please fix this soon.,2.0,30-12-2025,Tamil,iOS
FDBK00107,App Store,Swiggy,The restaurant staff were rude. On my android phone. I expected the app to handle this more smoothly. Please fix this soon.,4.0,2026-07-24,English,Web
FDBK00108,Survey,Uber Eats,The portion size was too small for the price. On my iphone. I expected the app to handle this more smoothly. Please fix this soon.,5.0,16/05/2026,Hindi,Android
FDBK00109,Survey,Zomato,The restaurant packaging was damaged. When using mobile data. I expected the app to handle this more smoothly. Please fix this soon.,2.0,06-04-2025,English,iOS
FDBK00110,Social Media,Grubhub,The food was too spicy and oily. After reopening the app. I expected the app to handle this more smoothly. Please fix this soon.,3.0,30-04-2026,English,iOS
FDBK00111,Support Ticket,Zomato,The restaurant ambience was excellent. During a busy lunch period. I expected the app to handle this more smoothly. Please fix this soon.,2.0,10-04-2026,English,Android
FDBK00112,Email,Zomato,The chicken was undercooked. While using the latest app version. I expected the app to handle this more smoothly. Please fix this soon.,5.0,2025-11-20,English,Android
FDBK00113,Email,Grubhub,The food was cold when it arrived. When trying to complete checkout. I expected the app to handle this more smoothly. Please fix this soon.,5.0,11-05-2026,Telugu,iOS
FDBK00114,App Store,DoorDash,The biryani tasted amazing and was very fresh. After returning to the app. I expected the app to handle this more smoothly. Please fix this soon.,2.0,13/04/2025,English,iOS
FDBK00115,Google Play,Swiggy,The restaurant staff were rude. While ordering from a saved address. I expected the app to handle this more smoothly. Please fix this soon.,2.0,15/01/2025,Telugu,iOS
FDBK00116,Google Play,Grubhub,The portion size was too small for the price. When switching between wi-fi and mobile data. I expected the app to handle this more smoothly. Please fix this soon.,1.0,"May 10, 2025",English,Web
FDBK00117,App Store,Swiggy,The restaurant packaging was damaged. During the evening. I expected the app to handle this more smoothly. Please fix this soon.,2.0,"May 06, 2026",English,Web
FDBK00118,Survey,Swiggy,The food was too spicy and oily. After placing a second order. I expected the app to handle this more smoothly. Please fix this soon.,3.0,2025-04-27,Telugu,Android
FDBK00119,Email,DoorDash,The restaurant ambience was excellent. When several items are in the cart. I expected the app to handle this more smoothly. Please fix this soon.,,05/06/2025,English,Android
FDBK00120,Email,Grubhub,The chicken was undercooked. While checking a previous order. I expected the app to handle this more smoothly. Please fix this soon.,4.0,"May 02, 2025",English,Web
FDBK00121,Email,Uber Eats,The app crashes whenever I open the orders page. After the latest update. The problem started recently. Please fix this soon.,2.0,"Apr 07, 2026",English,Android
FDBK00122,App Store,DoorDash,The new interface is confusing and navigation takes too many steps. On my android phone. The problem started recently. Please fix this soon.,5.0,12/04/2025,Tamil,Android
FDBK00123,Email,Swiggy,The app takes too long to load even on a fast connection. On my iphone. The problem started recently. Please fix this soon.,2.0,10/06/2025,English,Android
FDBK00124,Email,Uber Eats,I cannot log in after the latest update. When using mobile data. The problem started recently. Please fix this soon.,5.0,"Feb 23, 2026",English,Android
FDBK00125,Support Ticket,Uber Eats,Money was deducted but the order was not confirmed. After reopening the app. The problem started recently. Please fix this soon.,5.0,26-08-2025,English,Android
FDBK00126,Google Play,Grubhub,The order tracking map stopped updating. During a busy lunch period. The problem started recently. Please fix this soon.,3.0,28/09/2025,English,Android
FDBK00127,Google Play,Zomato,I did not receive the order confirmation notification. While using the latest app version. The problem started recently. Please fix this soon.,1.0,30/09/2025,English,iOS
FDBK00128,Social Media,DoorDash,Search results are not relevant to what I type. When trying to complete checkout. The problem started recently. Please fix this soon.,3.0,2026-03-26,Tamil,Web
FDBK00129,Google Play,Grubhub,Items disappear from my cart before checkout. After returning to the app. The problem started recently. Please fix this soon.,3.0,"Oct 06, 2025",English,Web
FDBK00130,Google Play,Zomato,Please add dark mode to the app. While ordering from a saved address. The problem started recently. Please fix this soon.,1.0,27-11-2025,Tamil,Android
FDBK00131,App Store,Uber Eats,I cannot reach a real support agent through the app. When switching between wi-fi and mobile data. The problem started recently. Please fix this soon.,,2025-10-03,Telugu,Web
FDBK00132,Survey,Uber Eats,My saved address disappeared after the app update. During the evening. The problem started recently. Please fix this soon.,4.0,12/10/2025,English,Web
FDBK00133,Support Ticket,Swiggy,The app gave an inaccurate delivery estimate. After placing a second order. The problem started recently. Please fix this soon.,2.0,"Dec 23, 2025",English,iOS
FDBK00134,Social Media,Uber Eats,The app is easy to use and checkout is very smooth. When several items are in the cart. The problem started recently. Please fix this soon.,5.0,"Feb 26, 2026",Telugu,Android
FDBK00135,Support Ticket,DoorDash,The app crashes whenever I open the orders page. While checking a previous order. The problem started recently. Please fix this soon.,2.0,2026-04-11,English,Web
FDBK00136,Email,Uber Eats,The new interface is confusing and navigation takes too many steps. After the latest update. I could not complete the task without retrying. Please fix this soon.,5.0,2026-06-11,Hindi,Android
FDBK00137,Survey,Uber Eats,The app takes too long to load even on a fast connection. On my android phone. I could not complete the task without retrying. Please fix this soon.,4.0,12-07-2025,English,Android
FDBK00138,Survey,Uber Eats,I cannot log in after the latest update. On my iphone. I could not complete the task without retrying. Please fix this soon.,2.0,01/10/2025,English,Android
FDBK00139,Email,Swiggy,Money was deducted but the order was not confirmed. When using mobile data. I could not complete the task without retrying. Please fix this soon.,2.0,03/09/2025,Telugu,Web
FDBK00140,Google Play,Uber Eats,The order tracking map stopped updating. After reopening the app. I could not complete the task without retrying. Please fix this soon.,,06/04/2025,English,Android
FDBK00141,Social Media,DoorDash,I did not receive the order confirmation notification. During a busy lunch period. I could not complete the task without retrying. Please fix this soon.,4.0,26-05-2026,Hindi,Web
FDBK00142,Email,Zomato,Search results are not relevant to what I type. While using the latest app version. I could not complete the task without retrying. Please fix this soon.,3.0,29/04/2026,Hindi,Android
FDBK00143,Google Play,DoorDash,Items disappear from my cart before checkout. When trying to complete checkout. I could not complete the task without retrying. Please fix this soon.,,05/06/2026,Hindi,iOS
FDBK00144,Google Play,DoorDash,Please add dark mode to the app. After returning to the app. I could not complete the task without retrying. Please fix this soon.,,04-06-2026,Tamil,iOS
FDBK00145,Email,Uber Eats,I cannot reach a real support agent through the app. While ordering from a saved address. I could not complete the task without retrying. Please fix this soon.,3.0,17/05/2026,English,iOS
FDBK00146,Support Ticket,Zomato,My saved address disappeared after the app update. When switching between wi-fi and mobile data. I could not complete the task without retrying. Please fix this soon.,3.0,"Jul 20, 2026",Tamil,Android
FDBK00147,Survey,Swiggy,The app gave an inaccurate delivery estimate. During the evening. I could not complete the task without retrying. Please fix this soon.,,28/01/2026,English,Web
FDBK00148,Social Media,Zomato,The app is easy to use and checkout is very smooth. After placing a second order. I could not complete the task without retrying. Please fix this soon.,5.0,"Jan 26, 2026",Hindi,Android
FDBK00149,Google Play,Uber Eats,The app crashes whenever I open the orders page. When several items are in the cart. I could not complete the task without retrying. Please fix this soon.,,10-05-2025,English,Web
FDBK00150,Social Media,Zomato,The new interface is confusing and navigation takes too many steps. While checking a previous order. I could not complete the task without retrying. Please fix this soon.,3.0,16/01/2025,English,Web
FDBK00151,Social Media,Uber Eats,The app takes too long to load even on a fast connection. After the latest update. It happened more than once. This needs attention.,4.0,29-09-2025,Tamil,Android
FDBK00152,Social Media,Uber Eats,I cannot log in after the latest update. On my android phone. It happened more than once. This needs attention.,2.0,"Dec 03, 2025",Telugu,Android
FDBK00153,Social Media,DoorDash,Money was deducted but the order was not confirmed. On my iphone. It happened more than once. This needs attention.,5.0,12/03/2025,English,Android
FDBK00154,Social Media,Swiggy,The order tracking map stopped updating. When using mobile data. It happened more than once. This needs attention.,,2026-03-21,Hindi,Android
FDBK00155,Support Ticket,Swiggy,I did not receive the order confirmation notification. After reopening the app. It happened more than once. This needs attention.,1.0,2025-11-03,English,iOS
FDBK00156,App Store,Grubhub,Search results are not relevant to what I type. During a busy lunch period. It happened more than once. This needs attention.,2.0,"Jan 19, 2026",Hindi,Android
FDBK00157,Email,Uber Eats,Items disappear from my cart before checkout. While using the latest app version. It happened more than once. This needs attention.,1.0,24/06/2025,Telugu,Android
FDBK00158,Survey,DoorDash,Please add dark mode to the app. When trying to complete checkout. It happened more than once. This needs attention.,2.0,25/05/2026,Hindi,iOS
FDBK00159,Social Media,Grubhub,I cannot reach a real support agent through the app. After returning to the app. It happened more than once. This needs attention.,2.0,"Jan 10, 2025",English,Android
FDBK00160,Support Ticket,Uber Eats,My saved address disappeared after the app update. While ordering from a saved address. It happened more than once. This needs attention.,4.0,29-03-2026,Tamil,iOS
FDBK00161,Survey,Uber Eats,The app gave an inaccurate delivery estimate. When switching between wi-fi and mobile data. It happened more than once. This needs attention.,2.0,13-04-2026,English,Android
FDBK00162,Support Ticket,DoorDash,The app is easy to use and checkout is very smooth. During the evening. It happened more than once. This needs attention.,5.0,26-01-2026,English,Web
FDBK00163,Social Media,Swiggy,The app crashes whenever I open the orders page. After placing a second order. It happened more than once. This needs attention.,4.0,2025-10-09,Telugu,Web
FDBK00164,Support Ticket,Zomato,The new interface is confusing and navigation takes too many steps. When several items are in the cart. It happened more than once. This needs attention.,4.0,21/10/2025,Tamil,Android
FDBK00165,Google Play,Swiggy,The app takes too long to load even on a fast connection. While checking a previous order. It happened more than once. This needs attention.,5.0,14/09/2025,English,Web
FDBK00166,App Store,Swiggy,I cannot log in after the latest update. After the latest update. This has happened several times today. This needs attention.,5.0,04-02-2025,English,iOS
FDBK00167,App Store,Grubhub,Money was deducted but the order was not confirmed. On my android phone. This has happened several times today. This needs attention.,2.0,02/03/2026,English,iOS
FDBK00168,Survey,DoorDash,The order tracking map stopped updating. On my iphone. This has happened several times today. This needs attention.,,18-06-2025,Tamil,iOS
FDBK00169,App Store,Zomato,I did not receive the order confirmation notification. When using mobile data. This has happened several times today. This needs attention.,1.0,"Apr 28, 2025",Tamil,Web
FDBK00170,Survey,Swiggy,Search results are not relevant to what I type. After reopening the app. This has happened several times today. This needs attention.,1.0,25-07-2026,English,Android
FDBK00171,Social Media,DoorDash,Items disappear from my cart before checkout. During a busy lunch period. This has happened several times today. This needs attention.,5.0,11-04-2026,Telugu,Web
FDBK00172,App Store,Uber Eats,Please add dark mode to the app. While using the latest app version. This has happened several times today. This needs attention.,5.0,2026-01-16,English,iOS
FDBK00173,Survey,DoorDash,I cannot reach a real support agent through the app. When trying to complete checkout. This has happened several times today. This needs attention.,5.0,2025-08-15,Tamil,Web
FDBK00174,Google Play,DoorDash,My saved address disappeared after the app update. After returning to the app. This has happened several times today. This needs attention.,1.0,30/04/2025,Hindi,Android
FDBK00175,App Store,Uber Eats,The app gave an inaccurate delivery estimate. While ordering from a saved address. This has happened several times today. This needs attention.,4.0,10/04/2025,Hindi,iOS
FDBK00176,Social Media,Zomato,The app is easy to use and checkout is very smooth. When switching between wi-fi and mobile data. This has happened several times today. This needs attention.,5.0,"Jul 08, 2026",Hindi,Android
FDBK00177,Google Play,DoorDash,The app crashes whenever I open the orders page. During the evening. This has happened several times today. This needs attention.,2.0,"May 17, 2026",English,Web
FDBK00178,Support Ticket,Swiggy,The new interface is confusing and navigation takes too many steps. After placing a second order. This has happened several times today. This needs attention.,,01/04/2026,Tamil,iOS
FDBK00179,Survey,DoorDash,The app takes too long to load even on a fast connection. When several items are in the cart. This has happened several times today. This needs attention.,1.0,12-07-2026,English,Android
FDBK00180,App Store,Grubhub,I cannot log in after the latest update. While checking a previous order. This has happened several times today. This needs attention.,5.0,2026-04-11,English,Android
FDBK00181,Email,Zomato,Money was deducted but the order was not confirmed. After the latest update. I had to restart the app to continue. This needs attention.,2.0,08/12/2025,English,Android
FDBK00182,App Store,Grubhub,The order tracking map stopped updating. On my android phone. I had to restart the app to continue. This needs attention.,2.0,10/08/2025,English,iOS
FDBK00183,Support Ticket,Zomato,I did not receive the order confirmation notification. On my iphone. I had to restart the app to continue. This needs attention.,4.0,29/05/2025,English,Android
FDBK00184,App Store,Grubhub,Search results are not relevant to what I type. When using mobile data. I had to restart the app to continue. This needs attention.,2.0,2025-05-15,English,Android
FDBK00185,App Store,Uber Eats,Items disappear from my cart before checkout. After reopening the app. I had to restart the app to continue. This needs attention.,1.0,28-06-2025,Telugu,Android
