feedback_id,customer_id,restaurant_id,restaurant_name,feedback_text,rating,source,created_date,city,language,reviewer_name,state,review_title,visit_type,food_rating,delivery_rating,order_value,order_id,delivery_partner,delivery_time,survey_id,satisfaction_score,recommend_score,food_quality,service_quality,cleanliness,ticket_id,issue_category,priority,status,email_id,subject,request_id,feature_category,feature_title,staff_rating,ambience_rating,post_id,platform,username,engagement,review,Category,Sentiment,Priority
FB100011,CUS0011,RES004,BiryaniBox Visakhapatnam,"STAFF CONDUCT WAS FAIR. THE WAITER TOOK OUR ORDER ACCURATELY, THOUGH GETTING WATER REFILLS REQUIRED MULTIPLE REMINDERS. RESPECTFUL BEHAVIOR OVERALL, BUT RESPONSIVENESS DURING RUSH HOURS COULD BE IMPROVED. FURTHERMORE, THE STAFF HYGIENE STANDARDS AND OVERALL BRAND CONSISTENCY AT BIRYANIBOX VISAKHAPATNAM REMAIN COMMENDABLE ACROSS REPEAT VISITS. WE LOOK FORWARD TO ORDERING OUR NEXT MEAL HERE SOON.",3.0,Google Reviews,2024-03-28,Visakhapatnam,Hindi,Srinivas Banerjee,Andhra Pradesh,Standard Staff Conduct,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,staff conduct was fair the waiter took our order accurately though getting water refills required multiple reminders respectful behavior overall but responsiveness during rush hours could be improved furthermore the staff hygiene standards and overall brand consistency at biryanibox visakhapatnam remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,Low
FB100012,CUS0012,RES005,BiryaniBox Bengaluru,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Bengaluru team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",3.0,Google Reviews,2024-06-25,Bengaluru,English,Vikram Teja,Karnataka,Super Fast Express Delivery,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,order placed during peak sunday lunch hour was delivered in under minutes by the biryanibox bengaluru team realtime gps tracking on the mobile app was pinpoint accurate the driver handled the parcel with care ensuring the salan pouches and raita cups remained intact without leaking kudos to the logistics team for managing rush hour so efficiently,Delivery,Positive,Low
FB100013,CUS0013,RES006,BiryaniBox Chennai,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Chennai team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",4.0,Google Reviews,2024-04-27,Chennai,Telugu,Kavya Iyer,Tamil Nadu,Piping Hot Late Night Order,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,order placed during peak sunday lunch hour was delivered in under minutes by the biryanibox chennai team realtime gps tracking on the mobile app was pinpoint accurate the driver handled the parcel with care ensuring the salan pouches and raita cups remained intact without leaking kudos to the logistics team for managing rush hour so efficiently,Delivery,Positive,Low
FB100014,CUS0014,RES007,BiryaniBox Pune,"Received cold and stale biryani from the Pune outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",1.0,Google Reviews,2024-07-17,Pune,Hindi,Nikhil Varma,Maharashtra,Burnt Rice and Dry Chicken,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,received cold and stale biryani from the pune outlet the chicken pieces had an unpleasant odor indicating they were reheated leftovers rather than freshly prepared dum biryani to make matters worse the raita had turned sour when we raised a complaint the response was indifferent extremely unhygienic and poor food quality that completely ruined our family dinner experience,Food,Negative,High
FB100015,CUS0015,RES008,BiryaniBox Mumbai,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",4.0,Google Reviews,2024-06-04,Mumbai,English,Keerthi Raju,Maharashtra,Flawless Checkout Usability,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,flawless digital experience from menu browsing to final payment the search bar autosuggests popular starters and combos intelligently zero bugs or crashes encountered on android highly refined mobile app furthermore the staff hygiene standards and overall brand consistency at biryaniibox mumbai remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,Medium
FB100016,CUS0016,RES001,BiryaniBox Vijayawada,"Very reasonable pricing considering the premium basmati rice, high quality ingredients, and generous portion sizes. The executive lunch box is priced perfectly for working professionals in Vijayawada. Great combo offers and loyalty reward discounts make dining at BiryaniBox Vijayawada worth every single rupee spent. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",4.0,Google Reviews,2024-05-28,Vijayawada,Telugu,Ramesh Shah,Andhra Pradesh,Great Quality at Low Price,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,very reasonable pricing considering the premium basmati rice high quality ingredients and generous portion sizes the executive lunch box is priced perfectly for working professionals in vijayawada great combo offers and loyalty reward discounts make dining at biryanibox vijayawada worth every single rupee spent furthermore the staff hygiene standards and overall brand consistency at biryanibox vijayawada remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,Low
FB100017,CUS0017,RES002,BiryaniBox Guntur,"Smooth and seamless payment experience on the official BiryaniBox app! The UPI payment gateway processed our transaction instantly in under 3 seconds without any lagging or error screens. I also received an instant 50 INR cashback coupon applied automatically to my wallet. Fast, secure, and hassle-free payment system for Guntur customers.",5.0,Google Reviews,2024-01-14,Guntur,Hindi,Narayana Joshi,Andhra Pradesh,Effortless Card Gateway,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,smooth and seamless payment experience on the official biryanibox app the upi payment gateway processed our transaction instantly in under seconds without any lagging or error screens i also received an instant inr cashback coupon applied automatically to my wallet fast secure and hasslefree payment system for guntur customers,Food,Positive,Low
FB100018,CUS0018,RES003,BiryaniBox Hyderabad,"Very reasonable pricing considering the premium basmati rice, high quality ingredients, and generous portion sizes. The executive lunch box is priced perfectly for working professionals in Hyderabad. Great combo offers and loyalty reward discounts make dining at BiryaniBox Hyderabad worth every single rupee spent. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",5.0,Google Reviews,2024-05-20,Hyderabad,English,Sai Chatterjee,Telangana,Affordable Family Combo Offer,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,very reasonable pricing considering the premium basmati rice high quality ingredients and generous portion sizes the executive lunch box is priced perfectly for working professionals in hyderabad great combo offers and loyalty reward discounts make dining at biryanibox hyderabad worth every single rupee spent furthermore the staff hygiene standards and overall brand consistency at biryanibox hyderabad remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,High
FB100019,CUS0019,RES004,BiryaniBox Visakhapatnam,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Visakhapatnam has never been easier or faster. Kudos to the tech development team!",4.0,Google Reviews,2024-06-03,Visakhapatnam,Telugu,Pooja Pasupuleti,Andhra Pradesh,Accurate Live GPS Tracking,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,the new biryanibox mobile application is brilliant clean modern ui with smooth category navigation and quick customization sliders for spice levels and extra salan the live gps rider tracking feature works with pinpoint accuracy ordering biryani in visakhapatnam has never been easier or faster kudos to the tech development team,Food,Positive,Low
FB100020,CUS0020,RES005,BiryaniBox Bengaluru,"Hidden charges and inflated prices ruined our ordering experience. The app displayed a lower price initially, but added excessive surge charges, packaging fees, and delivery markups at checkout. Not worth the steep cost for average tasting biryani. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1.0,Google Reviews,12/05/2024,Bengaluru,Hindi,Prasad Pillai,Karnataka,Prices Increased Size Shrunk,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,hidden charges and inflated prices ruined our ordering experience the app displayed a lower price initially but added excessive surge charges packaging fees and delivery markups at checkout not worth the steep cost for average tasting biryani furthermore the staff hygiene standards and overall brand consistency at biryanibox bengaluru remain commendable across repeat visits we look forward to ordering our next meal here soon,Delivery,Negative,High
FB100021,CUS0021,RES006,BiryaniBox Chennai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",5.0,Google Reviews,2024-07-22,Chennai,English,Anusha Sharma,Tamil Nadu,Slick Modern UI Easy Order,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,slick app experience with instant login via otp saving favorite delivery addresses and reordering past meals takes just two taps notifications regarding order status and discount offers are timely without feeling spammy stars for app usability furthermore the staff hygiene standards and overall brand consistency at biryanibox chennai remain commendable across repeat visits we look forward to ordering our next meal here soon,Delivery,Positive,Low
FB100022,CUS0022,RES007,BiryaniBox Pune,"Decent app design. Cart creation and coupon application work fine, though push notifications regarding promotions are a bit too frequent. A setting to customize notification preferences would be appreciated. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",3.0,Google Reviews,2024-01-25,Pune,Telugu,Suresh Singh,Maharashtra,App Functional Average Speed,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,decent app design cart creation and coupon application work fine though push notifications regarding promotions are a bit too frequent a setting to customize notification preferences would be appreciated furthermore the staff hygiene standards and overall brand consistency at biryanibox pune remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,Medium
FB100023,CUS0023,RES008,BiryaniBox Mumbai,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",4.0,Google Reviews,2024-05-09,Mumbai,Hindi,Ananya Nair,Maharashtra,Flawless Checkout Usability,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,flawless digital experience from menu browsing to final payment the search bar autosuggests popular starters and combos intelligently zero bugs or crashes encountered on android highly refined mobile app furthermore the staff hygiene standards and overall brand consistency at biryanibox mumbai remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,Medium
FB100024,CUS0024,RES001,BiryaniBox Vijayawada,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",5.0,Google Reviews,2024-04-09,Vijayawada,English,Rahul Deshmukh,Andhra Pradesh,,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,slick app experience with instant login via otp saving favorite delivery addresses and reordering past meals takes just two taps notifications regarding order status and discount offers are timely without feeling spammy stars for app usability furthermore the staff hygiene standards and overall brand consistency at biryanibox vijayawada remain commendable across repeat visits we look forward to ordering our next meal here soon,Delivery,Positive,Low
FB100025,CUS0025,RES002,BiryaniBox Guntur,"Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delivery resulted in soggy starters and cold biryani. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1.0,Google Reviews,2024-04-03,Guntur,Telugu,Meghana Das,Andhra Pradesh,Delivery Took Over an Hour,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,order tracking on the app showed delivered minutes before the rider actually arrived at our house when we contacted support we received automated unhelpful responses the delayed delivery resulted in soggy starters and cold biryani highly frustrating logistics management that makes us hesitant to order again furthermore the staff hygiene standards and overall brand consistency at biryanibox guntur remain commendable across repeat visits we look forward to ordering our next meal here soon,Delivery,Negative,High
FB100026,CUS0026,RES003,BiryaniBox Hyderabad,"Very reasonable pricing considering the premium basmati rice, high quality ingredients, and generous portion sizes. The executive lunch box is priced perfectly for working professionals in Hyderabad. Great combo offers and loyalty reward discounts make dining at biryaniiBox Hyderabad worth every single rupee spent. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",5.0,Google Reviews,2024-06-25,Hyderabad,Hindi,Rohan Gupta,Telangana,Generous Portions Great Value,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,very reasonable pricing considering the premium basmati rice high quality ingredients and generous portion sizes the executive lunch box is priced perfectly for working professionals in hyderabad great combo offers and loyalty reward discounts make dining at biryaniibox hyderabad worth every single rupee spent furthermore the staff hygiene standards and overall brand consistency at biryaniibox hyderabad remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,High
FB100027,CUS0027,RES004,BiryaniBox Visakhapatnam,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",4.0,Google Reviews,2024-06-30,Visakhapatnam,English,Sandhya Shetty,Andhra Pradesh,Slick Modern UI Easy Order,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,flawless digital experience from menu browsing to final payment the search bar autosuggests popular starters and combos intelligently zero bugs or crashes encountered on android highly refined mobile app furthermore the staff hygiene standards and overall brand consistency at biryanibox visakhapatnam remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,Medium
FB100028,CUS0028,RES005,BiryaniBox Bengaluru,"Very poor packaging quality. The delivery bag arrived torn at the bottom due to grease leakage from unsealed biryani containers. The food was lukewarm and unhygienic because the lid had popped open during transport. Unacceptable quality standards for a reputed brand like BiryaniBox in Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2.0,Google Reviews,2024-04-06,Bengaluru,Telugu,Mahesh Rao,Karnataka,Gravy Leaked All Over Bag,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,very poor packaging quality the delivery bag arrived torn at the bottom due to grease leakage from unsealed biryani containers the food was lukewarm and unhygienic because the lid had popped open during transport unacceptable quality standards for a reputed brand like biryanibox in bengaluru furthermore the staff hygiene standards and overall brand consistency at biryanibox bengaluru remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Negative,High
FB100029,CUS0029,RES006,BiryaniBox Chennai,"Superb tamper-proof packaging that guarantees hygiene and fresh food delivery. The aluminum handi box preserved the ghee aroma of the biryani perfectly. Starter containers had steam vents to prevent moisture buildup, keeping the chicken crisp. Excellent packaging standards that other restaurants in Chennai should emulate. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",4.0,Google Reviews,2024-03-07,Chennai,Hindi,Priya Verma,Tamil Nadu,Tamper Evident Tin Containers,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,superb tamperproof packaging that guarantees hygiene and fresh food delivery the aluminum handi box preserved the ghee aroma of the biryani perfectly starter containers had steam vents to prevent moisture buildup keeping the chicken crisp excellent packaging standards that other restaurants in chennai should emulate furthermore the staff hygiene standards and overall brand consistency at biryanibox chennai remain commendable across repeat visits we look forward to ordering our next meal here soon,Food,Positive,High
FB100030,CUS0030,RES007,BiryaniBox Pune,"Impressed by the ultra-fast delivery service from BiryaniBox Pune! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Pune.",5.0,Google Reviews,2024-05-21,Pune,English,Arjun Kumar,Maharashtra,Hot Food Delivered Early,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,impressed by the ultrafast delivery service from biryanibox pune the food arrived in just minutes well ahead of the estimated arrival time the delivery partner was extremely polite wore a clean uniform and followed all dropoff instructions accurately the packaging was piping hot and completely sealed with zero spillage seamless experience from app order placement to final delivery in pune,Delivery,Positive,Low
FB100031,CUS0031,RES008,BiryaniBox Mumbai,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Mumbai. Even during a long transit across Mumbai, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.",5.0,Google Reviews,2024-03-05,Mumbai,Telugu,Bhavana Kulkarni,Maharashtra,Hot & Well Sealed Parcel,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,top marks for packaging the food arrived piping hot thanks to the insulated container design used by biryanibox mumbai even during a long transit across mumbai there was zero leakage of gravy or oil cutlery napkins and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag thoughtful packaging that enhances the overall meal experience,Food,Positive,High
FB100032,CUS0032,RES001,BiryaniBox Vijayawada,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Vijayawada has never been easier or faster. Kudos to the tech development team!",4.0,Google Reviews,2024-02-29,Vijayawada,Hindi,Gautam Roy,Andhra Pradesh,Slick Modern UI Easy Order,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,the new biryanibox mobile application is brilliant clean modern ui with smooth category navigation and quick customization sliders for spice levels and extra salan the live gps rider tracking feature works with pinpoint accuracy ordering biryani in vijayawada has never been easier or faster kudos to the tech development team,Food,Positive,Low
FB100033,CUS0033,RES002,BiryaniBox Guntur,"The new biryaniiBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryanii in Guntur has never been easier or faster. Kudos to the tech development team!",5.0,Google Reviews,2024-07-18,Guntur,English,Ramya Patel,Andhra Pradesh,Slick Modern UI Easy Order,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,the new biryaniibox mobile application is brilliant clean modern ui with smooth category navigation and quick customization sliders for spice levels and extra salan the live gps rider tracking feature works with pinpoint accuracy ordering biryanii in guntur has never been easier or faster kudos to the tech development team,Food,Positive,Low
