review_id,restaurant,menu_item,rating,review,date
65,Taco Town,Biryani,2,Food arrived cold. Ordered Biryani.,2026-05-29
66,Pizza Hub,Sushi,2,Food arrived cold. Ordered Sushi.,2026-01-13
67,Pasta Point,Pasta,2,Food arrived cold. Ordered Pasta.,2026-05-11
68,Burger Barn,Pasta,2,Delivery was late. Ordered Pasta.,2026-06-02
69,Burger Barn,Biryani,1,App payment failed. Ordered Biryani.,2026-01-31
70,Cafe Aroma,Pizza,5,Easy ordering experience. Ordered Pizza.,2026-01-21
71,Biryani House,Sushi,5,Great customer service. Ordered Sushi.,2026-02-22
72,Sushi Spot,Biryani,5,Great customer service. Ordered Biryani.,2026-04-12
73,Spice Villa,Taco,5,Loved the quick delivery. Ordered Taco.,2026-03-22
74,Burger Barn,Pizza,5,Loved the quick delivery. Ordered Pizza.,2026-06-09
75,Burger Barn,Burger,3,Too expensive for the portion. Ordered Burger.,2026-02-24
76,Taco Town,Pasta,1,Order was incorrect. Ordered Pasta.,2026-01-18
77,Cafe Aroma,Sushi,5,Great customer service. Ordered Sushi.,2026-02-10
78,Pasta Point,Taco,5,Easy ordering experience. Ordered Taco.,2026-06-17
79,Pizza Hub,Taco,2,Delivery was late. Ordered Taco.,2026-02-04
80,Taco Town,Burger,2,Delivery was late. Ordered Burger.,2026-05-22
81,Spice Villa,Taco,5,Great customer service. Ordered Taco.,2026-06-04
82,Cafe Aroma,Sushi,5,Excellent taste and fresh food. Ordered Sushi.,2026-06-25
83,Taco Town,Coffee,5,Great customer service. Ordered Coffee.,2026-01-14
84,Burger Barn,Sandwich,5,Great customer service. Ordered Sandwich.,2026-01-12
85,Pizza Hub,Sushi,2,Packaging was damaged. Ordered Sushi.,2026-06-13
86,Taco Town,Pasta,5,Loved the quick delivery. Ordered Pasta.,2026-05-22
87,Biryani House,Pizza,2,Delivery was late. Ordered Pizza.,2026-01-20
88,Spice Villa,Pizza,1,Order was incorrect. Ordered Pizza.,2026-05-30
89,Spice Villa,Sandwich,2,Packaging was damaged. Ordered Sandwich.,2026-01-11
90,Taco Town,Sushi,2,Food arrived cold. Ordered Sushi.,2026-04-02
91,Cafe Aroma,Biryani,2,Delivery was late. Ordered Biryani.,2026-04-01
92,Biryani House,Pasta,5,Excellent taste and fresh food. Ordered Pasta.,2026-02-11
93,Spice Villa,Sandwich,2,Food arrived cold. Ordered Sandwich.,2026-02-15
94,Sushi Spot,Sandwich,5,Excellent taste and fresh food. Ordered Sandwich.,2026-03-10
95,Spice Villa,Burger,1,App payment failed. Ordered Burger.,2026-01-10
96,Pasta Point,Biryani,5,Excellent taste and fresh food. Ordered Biryani.,2026-04-28
97,Sushi Spot,Taco,5,Excellent taste and fresh food. Ordered Taco.,2026-02-27
98,Pizza Hub,Biryani,1,App payment failed. Ordered Biryani.,2026-03-26
99,Taco Town,Burger,5,Great customer service. Ordered Burger.,2026-03-31
100,Biryani House,Sushi,2,Food arrived cold. Ordered Sushi.,2026-01-30
101,Taco Town,Pasta,5,Easy ordering experience. Ordered Pasta.,2026-03-09
102,Pizza Hub,Burger,5,Easy ordering experience. Ordered Burger.,2026-04-22
103,Sushi Spot,Sushi,1,App payment failed. Ordered Sushi.,2026-06-05
104,Burger Barn,Sandwich,5,Easy ordering experience. Ordered Sandwich.,2026-02-18
105,Taco Town,Pizza,1,App payment failed. Ordered Pizza.,2026-01-01
106,Cafe Aroma,Sushi,1,App payment failed. Ordered Sushi.,2026-01-18
107,Sushi Spot,Sushi,2,Delivery was late. Ordered Sushi.,2026-03-18
108,Taco Town,Sandwich,1,Order was incorrect. Ordered Sandwich.,2026-04-14
109,Taco Town,Pasta,5,Excellent taste and fresh food. Ordered Pasta.,2026-04-18
110,Biryani House,Pasta,5,Easy ordering experience. Ordered Pasta.,2026-05-26
111,Taco Town,Sandwich,3,Too expensive for the portion. Ordered Sandwich.,2026-01-01
112,Taco Town,Taco,5,Excellent taste and fresh food. Ordered Taco.,2026-04-21
113,Sushi Spot,Coffee,5,Loved the quick delivery. Ordered Coffee.,2026-04-24
114,Cafe Aroma,Coffee,2,Packaging was damaged. Ordered Coffee.,2026-06-18
115,Burger Barn,Taco,3,Too expensive for the portion. Ordered Taco.,2026-06-19
116,Sushi Spot,Burger,5,Excellent taste and fresh food. Ordered Burger.,2026-06-22
117,Taco Town,Biryani,5,Excellent taste and fresh food. Ordered Biryani.,2026-02-07
118,Pizza Hub,Pizza,5,Excellent taste and fresh food. Ordered Pizza.,2026-05-02
119,Burger Barn,Coffee,1,App payment failed. Ordered Coffee.,2026-06-11
120,Cafe Aroma,Sandwich,5,Loved the quick delivery. Ordered Sandwich.,2026-04-13
121,Cafe Aroma,Pasta,2,Food arrived cold. Ordered Pasta.,2026-01-28
122,Biryani House,Biryani,2,Packaging was damaged. Ordered Biryani.,2026-06-28
123,Pasta Point,Pizza,3,Too expensive for the portion. Ordered Pizza.,2026-03-05
124,Burger Barn,Coffee,2,Packaging was damaged. Ordered Coffee.,2026-04-29
125,Sushi Spot,Coffee,5,Easy ordering experience. Ordered Coffee.,2026-05-10
126,Biryani House,Coffee,2,Packaging was damaged. Ordered Coffee.,2026-05-02
127,Pasta Point,Taco,5,Excellent taste and fresh food. Ordered Taco.,2026-06-13
128,Taco Town,Coffee,5,Excellent taste and fresh food. Ordered Coffee.,2026-03-12
129,Pasta Point,Burger,5,Great customer service. Ordered Burger.,2026-03-02
130,Taco Town,Sushi,1,Order was incorrect. Ordered Sushi.,2026-05-19
131,Burger Barn,Pasta,2,Packaging was damaged. Ordered Pasta.,2026-03-01
132,Biryani House,Pasta,5,Excellent taste and fresh food. Ordered Pasta.,2026-01-17
133,Biryani House,Sandwich,1,Order was incorrect. Ordered Sandwich.,2026-05-19
134,Pasta Point,Sandwich,2,Food arrived cold. Ordered Sandwich.,2026-02-22
135,Biryani House,Sandwich,5,Easy ordering experience. Ordered Sandwich.,2026-06-28
136,Pizza Hub,Sandwich,5,Loved the quick delivery. Ordered Sandwich.,2026-01-02
137,Sushi Spot,Taco,1,App payment failed. Ordered Taco.,2026-04-18
138,Cafe Aroma,Coffee,5,Excellent taste and fresh food. Ordered Coffee.,2026-03-11
139,Biryani House,Coffee,2,Food arrived cold. Ordered Coffee.,2026-04-10
140,Sushi Spot,Sandwich,2,Packaging was damaged. Ordered Sandwich.,2026-04-30
141,Spice Villa,Pizza,1,App payment failed. Ordered Pizza.,2026-06-01
142,Pizza Hub,Burger,1,App payment failed. Ordered Burger.,2026-02-04
143,Pasta Point,Pasta,2,Food arrived cold. Ordered Pasta.,2026-03-08
144,Biryani House,Sushi,5,Excellent taste and fresh food. Ordered Sushi.,2026-04-27
145,Sushi Spot,Sushi,1,App payment failed. Ordered Sushi.,2026-03-13
146,Biryani House,Taco,2,Delivery was late. Ordered Taco.,2026-05-01
147,Pizza Hub,Pizza,1,Order was incorrect. Ordered Pizza.,2026-02-27
148,Burger Barn,Pizza,2,Food arrived cold. Ordered Pizza.,2026-03-05
149,Cafe Aroma,Pizza,5,Easy ordering experience. Ordered Pizza.,2026-02-09
150,Cafe Aroma,Pasta,5,Loved the quick delivery. Ordered Pasta.,2026-06-21
151,Burger Barn,Biryani,5,Loved the quick delivery. Ordered Biryani.,2026-06-29
152,Taco Town,Sushi,2,Packaging was damaged. Ordered Sushi.,2026-06-05
153,Burger Barn,Pasta,5,Great customer service. Ordered Pasta.,2026-01-28
154,Pizza Hub,Taco,5,Easy ordering experience. Ordered Taco.,2026-06-23
155,Biryani House,Sandwich,5,Excellent taste and fresh food. Ordered Sandwich.,2026-01-20
156,Cafe Aroma,Burger,5,Great customer service. Ordered Burger.,2026-06-25
157,Burger Barn,Pizza,1,Order was incorrect. Ordered Pizza.,2026-05-17
158,Biryani House,Sushi,2,Delivery was late. Ordered Sushi.,2026-05-10
159,Sushi Spot,Pizza,1,App payment failed. Ordered Pizza.,2026-05-06
160,Burger Barn,Sandwich,1,Order was incorrect. Ordered Sandwich.,2026-06-12
161,Pasta Point,Pasta,1,App payment failed. Ordered Pasta.,2026-02-15
162,Taco Town,Coffee,5,Loved the quick delivery. Ordered Coffee.,2026-04-22
163,Taco Town,Sushi,5,Excellent taste and fresh food. Ordered Sushi.,2026-01-23
164,Taco Town,Coffee,5,Excellent taste and fresh food. Ordered Coffee.,2026-04-29
165,Biryani House,Sushi,2,Food arrived cold. Ordered Sushi.,2026-05-07
166,Sushi Spot,Pasta,5,Loved the quick delivery. Ordered Pasta.,2026-02-24
167,Sushi Spot,Taco,1,Order was incorrect. Ordered Taco.,2026-03-13
168,Taco Town,Pizza,3,Too expensive for the portion. Ordered Pizza.,2026-02-18
169,Burger Barn,Biryani,1,App payment failed. Ordered Biryani.,2026-05-06
170,Cafe Aroma,Coffee,5,Loved the quick delivery. Ordered Coffee.,2026-04-25
171,Pizza Hub,Burger,5,Great customer service. Ordered Burger.,2026-02-26
172,Biryani House,Biryani,5,Great customer service. Ordered Biryani.,2026-06-19
173,Sushi Spot,Coffee,3,Too expensive for the portion. Ordered Coffee.,2026-05-16
174,Sushi Spot,Sandwich,3,Too expensive for the portion. Ordered Sandwich.,2026-03-26
175,Sushi Spot,Coffee,5,Great customer service. Ordered Coffee.,2026-03-20
176,Taco Town,Biryani,2,Delivery was late. Ordered Biryani.,2026-02-19
177,Sushi Spot,Burger,3,Too expensive for the portion. Ordered Burger.,2026-06-26
178,Spice Villa,Biryani,5,Excellent taste and fresh food. Ordered Biryani.,2026-05-04
179,Taco Town,Taco,2,Delivery was late. Ordered Taco.,2026-02-19
180,Taco Town,Biryani,1,Order was incorrect. Ordered Biryani.,2026-02-15
181,Taco Town,Pizza,3,Too expensive for the portion. Ordered Pizza.,2026-02-02
182,Taco Town,Pizza,2,Food arrived cold. Ordered Pizza.,2026-05-22
183,Taco Town,Pasta,5,Loved the quick delivery. Ordered Pasta.,2026-01-27
184,Pizza Hub,Taco,5,Loved the quick delivery. Ordered Taco.,2026-05-03
185,Pasta Point,Sushi,2,Packaging was damaged. Ordered Sushi.,2026-01-14
186,Taco Town,Coffee,2,Delivery was late. Ordered Coffee.,2026-01-17
187,Biryani House,Coffee,2,Delivery was late. Ordered Coffee.,2026-05-28
188,Pizza Hub,Pasta,2,Packaging was damaged. Ordered Pasta.,2026-05-25
189,Taco Town,Burger,5,Excellent taste and fresh food. Ordered Burger.,2026-01-31
190,Biryani House,Biryani,3,Too expensive for the portion. Ordered Biryani.,2026-04-08
191,Pasta Point,Coffee,5,Great customer service. Ordered Coffee.,2026-05-31
192,Biryani House,Taco,5,Easy ordering experience. Ordered Taco.,2026-06-08
193,Pizza Hub,Burger,5,Excellent taste and fresh food. Ordered Burger.,2026-06-10
194,Cafe Aroma,Taco,2,Delivery was late. Ordered Taco.,2026-02-10
195,Cafe Aroma,Pasta,3,Too expensive for the portion. Ordered Pasta.,2026-01-20
196,Spice Villa,Pizza,1,App payment failed. Ordered Pizza.,2026-04-26
197,Pasta Point,Taco,2,Food arrived cold. Ordered Taco.,2026-03-01
198,Taco Town,Taco,5,Loved the quick delivery. Ordered Taco.,2026-01-19
199,Cafe Aroma,Taco,5,Easy ordering experience. Ordered Taco.,2026-06-19
200,Cafe Aroma,Sandwich,2,Delivery was late. Ordered Sandwich.,2026-05-20
201,Cafe Aroma,Pasta,5,Great customer service. Ordered Pasta.,2026-02-06
202,Burger Barn,Pizza,2,Packaging was damaged. Ordered Pizza.,2026-03-20
203,Taco Town,Coffee,2,Delivery was late. Ordered Coffee.,2026-04-30
204,Taco Town,Sandwich,5,Great customer service. Ordered Sandwich.,2026-05-09
205,Pasta Point,Coffee,2,Delivery was late. Ordered Coffee.,2026-06-03
206,Pizza Hub,Sandwich,1,Order was incorrect. Ordered Sandwich.,2026-06-04
207,Taco Town,Pizza,2,Delivery was late. Ordered Pizza.,2026-02-28
208,Pizza Hub,Taco,5,Easy ordering experience. Ordered Taco.,2026-01-11
209,Spice Villa,Coffee,3,Too expensive for the portion. Ordered Coffee.,2026-06-16
210,Pasta Point,Taco,2,Packaging was damaged. Ordered Taco.,2026-05-30
211,Biryani House,Coffee,2,Delivery was late. Ordered Coffee.,2026-05-01
212,Sushi Spot,Sandwich,1,Order was incorrect. Ordered Sandwich.,2026-03-24
213,Burger Barn,Pasta,1,Order was incorrect. Ordered Pasta.,2026-04-16
214,Pasta Point,Taco,1,App payment failed. Ordered Taco.,2026-05-21
215,Pizza Hub,Coffee,2,Delivery was late. Ordered Coffee.,2026-03-22
216,Taco Town,Sushi,2,Delivery was late. Ordered Sushi.,2026-04-14
217,Pizza Hub,Coffee,1,App payment failed. Ordered Coffee.,2026-01-14
218,Cafe Aroma,Sushi,5,Easy ordering experience. Ordered Sushi.,2026-05-08
219,Pasta Point,Pizza,5,Excellent taste and fresh food. Ordered Pizza.,2026-03-10
220,Spice Villa,Taco,5,Loved the quick delivery. Ordered Taco.,2026-06-28
221,Pasta Point,Burger,2,Food arrived cold. Ordered Burger.,2026-06-11
222,Cafe Aroma,Pasta,5,Great customer service. Ordered Pasta.,2026-05-22
223,Pizza Hub,Sandwich,2,Delivery was late. Ordered Sandwich.,2026-02-27
224,Burger Barn,Coffee,2,Delivery was late. Ordered Coffee.,2026-06-15
225,Spice Villa,Coffee,5,Great customer service. Ordered Coffee.,2026-05-11
226,Taco Town,Sandwich,5,Loved the quick delivery. Ordered Sandwich.,2026-05-01
227,Cafe Aroma,Coffee,3,Too expensive for the portion. Ordered Coffee.,2026-02-07
228,Biryani House,Biryani,5,Easy ordering experience. Ordered Biryani.,2026-05-11
229,Spice Villa,Burger,5,Great customer service. Ordered Burger.,2026-04-17
230,Sushi Spot,Taco,2,Food arrived cold. Ordered Taco.,2026-03-14
231,Taco Town,Coffee,2,Packaging was damaged. Ordered Coffee.,2026-04-25
232,Pasta Point,Sushi,1,Order was incorrect. Ordered Sushi.,2026-05-22
233,Biryani House,Coffee,1,Order was incorrect. Ordered Coffee.,2026-02-18
234,Cafe Aroma,Sandwich,5,Excellent taste and fresh food. Ordered Sandwich.,2026-04-16
235,Pizza Hub,Sushi,5,Loved the quick delivery. Ordered Sushi.,2026-06-30
236,Biryani House,Sandwich,2,Packaging was damaged. Ordered Sandwich.,2026-05-07
237,Pizza Hub,Pasta,3,Too expensive for the portion. Ordered Pasta.,2026-06-01
238,Sushi Spot,Burger,5,Loved the quick delivery. Ordered Burger.,2026-01-26
239,Pasta Point,Pizza,2,Packaging was damaged. Ordered Pizza.,2026-04-15
240,Spice Villa,Burger,5,Loved the quick delivery. Ordered Burger.,2026-03-09
241,Sushi Spot,Sandwich,2,Delivery was late. Ordered Sandwich.,2026-03-26
242,Biryani House,Sushi,5,Loved the quick delivery. Ordered Sushi.,2026-05-19
243,Pizza Hub,Burger,5,Excellent taste and fresh food. Ordered Burger.,2026-06-11
244,Taco Town,Biryani,2,Delivery was late. Ordered Biryani.,2026-04-22
245,Burger Barn,Burger,5,Loved the quick delivery. Ordered Burger.,2026-02-12
246,Taco Town,Pizza,2,Food arrived cold. Ordered Pizza.,2026-03-25
247,Pizza Hub,Taco,1,Order was incorrect. Ordered Taco.,2026-04-06
248,Biryani House,Pasta,5,Excellent taste and fresh food. Ordered Pasta.,2026-05-16
249,Biryani House,Pasta,2,Packaging was damaged. Ordered Pasta.,2026-02-14
250,Burger Barn,Sandwich,5,Easy ordering experience. Ordered Sandwich.,2026-06-24
251,Cafe Aroma,Coffee,5,Easy ordering experience. Ordered Coffee.,2026-02-06
252,Cafe Aroma,Coffee,5,Great customer service. Ordered Coffee.,2026-04-28
253,Taco Town,Pizza,5,Loved the quick delivery. Ordered Pizza.,2026-03-15
254,Spice Villa,Burger,5,Loved the quick delivery. Ordered Burger.,2026-03-30
255,Taco Town,Sandwich,5,Great customer service. Ordered Sandwich.,2026-04-27
256,Taco Town,Biryani,1,App payment failed. Ordered Biryani.,2026-05-04
257,Burger Barn,Biryani,1,App payment failed. Ordered Biryani.,2026-05-27
258,Sushi Spot,Taco,5,Great customer service. Ordered Taco.,2026-01-06
259,Biryani House,Taco,2,Food arrived cold. Ordered Taco.,2026-05-25
260,Pizza Hub,Coffee,5,Great customer service. Ordered Coffee.,2026-02-28
261,Sushi Spot,Biryani,5,Excellent taste and fresh food. Ordered Biryani.,2026-06-08
262,Taco Town,Pasta,2,Delivery was late. Ordered Pasta.,2026-06-10
263,Pizza Hub,Taco,5,Loved the quick delivery. Ordered Taco.,2026-01-09
264,Sushi Spot,Pasta,2,Delivery was late. Ordered Pasta.,2026-03-17
265,Sushi Spot,Sandwich,2,Packaging was damaged. Ordered Sandwich.,2026-02-21
266,Spice Villa,Sushi,3,Too expensive for the portion. Ordered Sushi.,2026-05-09
267,Taco Town,Pasta,5,Great customer service. Ordered Pasta.,2026-05-04
268,Taco Town,Sushi,2,Delivery was late. Ordered Sushi.,2026-04-30
269,Burger Barn,Pasta,5,Excellent taste and fresh food. Ordered Pasta.,2026-06-23
270,Biryani House,Sushi,2,Delivery was late. Ordered Sushi.,2026-04-12
271,Pizza Hub,Taco,3,Too expensive for the portion. Ordered Taco.,2026-02-01
272,Pasta Point,Sushi,5,Great customer service. Ordered Sushi.,2026-05-30
273,Biryani House,Sushi,2,Delivery was late. Ordered Sushi.,2026-06-22
274,Cafe Aroma,Coffee,2,Food arrived cold. Ordered Coffee.,2026-06-08
275,Sushi Spot,Biryani,2,Delivery was late. Ordered Biryani.,2026-06-12
276,Pasta Point,Taco,1,App payment failed. Ordered Taco.,2026-01-30
277,Spice Villa,Pizza,2,Food arrived cold. Ordered Pizza.,2026-03-19
278,Pasta Point,Burger,2,Delivery was late. Ordered Burger.,2026-03-02
279,Spice Villa,Sandwich,5,Loved the quick delivery. Ordered Sandwich.,2026-04-05
280,Biryani House,Pasta,1,App payment failed. Ordered Pasta.,2026-06-17
281,Burger Barn,Coffee,5,Easy ordering experience. Ordered Coffee.,2026-04-15
282,Taco Town,Pizza,1,Order was incorrect. Ordered Pizza.,2026-02-25
283,Pasta Point,Coffee,5,Excellent taste and fresh food. Ordered Coffee.,2026-04-03
284,Burger Barn,Sushi,3,Too expensive for the portion. Ordered Sushi.,2026-06-15
285,Sushi Spot,Pizza,1,App payment failed. Ordered Pizza.,2026-03-12
286,Cafe Aroma,Burger,5,Loved the quick delivery. Ordered Burger.,2026-01-24
287,Cafe Aroma,Pizza,2,Food arrived cold. Ordered Pizza.,2026-03-27
288,Cafe Aroma,Pasta,5,Easy ordering experience. Ordered Pasta.,2026-02-22
289,Burger Barn,Biryani,5,Easy ordering experience. Ordered Biryani.,2026-02-25
290,Cafe Aroma,Sushi,2,Packaging was damaged. Ordered Sushi.,2026-06-02
291,Pizza Hub,Taco,2,Packaging was damaged. Ordered Taco.,2026-02-03
292,Taco Town,Pasta,2,Delivery was late. Ordered Pasta.,2026-06-19
293,Pizza Hub,Pasta,2,Food arrived cold. Ordered Pasta.,2026-04-02
294,Cafe Aroma,Sushi,2,Food arrived cold. Ordered Sushi.,2026-02-14
295,Taco Town,Pizza,2,Packaging was damaged. Ordered Pizza.,2026-04-18
296,Burger Barn,Burger,5,Loved the quick delivery. Ordered Burger.,2026-04-25
297,Sushi Spot,Burger,5,Loved the quick delivery. Ordered Burger.,2026-05-09
298,Cafe Aroma,Pizza,3,Too expensive for the portion. Ordered Pizza.,2026-03-19
299,Pasta Point,Pizza,2,Food arrived cold. Ordered Pizza.,2026-05-03
300,Biryani House,Sandwich,2,Delivery was late. Ordered Sandwich.,2026-05-06
301,Pasta Point,Burger,2,Delivery was late. Ordered Burger.,2026-03-24
302,Spice Villa,Burger,2,Packaging was damaged. Ordered Burger.,2026-03-12
303,Sushi Spot,Sandwich,5,Easy ordering experience. Ordered Sandwich.,2026-05-16
304,Taco Town,Coffee,3,Too expensive for the portion. Ordered Coffee.,2026-06-04
305,Biryani House,Burger,2,Delivery was late. Ordered Burger.,2026-06-17
306,Cafe Aroma,Sandwich,5,Loved the quick delivery. Ordered Sandwich.,2026-02-28
307,Biryani House,Sushi,5,Loved the quick delivery. Ordered Sushi.,2026-04-13
308,Biryani House,Burger,1,Order was incorrect. Ordered Burger.,2026-04-20
309,Sushi Spot,Taco,1,Order was incorrect. Ordered Taco.,2026-02-09
310,Pasta Point,Burger,2,Delivery was late. Ordered Burger.,2026-01-22
311,Burger Barn,Sandwich,2,Delivery was late. Ordered Sandwich.,2026-04-06
312,Spice Villa,Pizza,5,Easy ordering experience. Ordered Pizza.,2026-05-24
313,Sushi Spot,Burger,1,App payment failed. Ordered Burger.,2026-04-01
314,Biryani House,Pizza,5,Great customer service. Ordered Pizza.,2026-06-03
315,Taco Town,Sushi,2,Delivery was late. Ordered Sushi.,2026-05-28
316,Cafe Aroma,Pasta,5,Loved the quick delivery. Ordered Pasta.,2026-02-27
317,Burger Barn,Sushi,3,Too expensive for the portion. Ordered Sushi.,2026-04-05
318,Burger Barn,Taco,5,Easy ordering experience. Ordered Taco.,2026-02-27
319,Biryani House,Pizza,5,Easy ordering experience. Ordered Pizza.,2026-06-18
320,Taco Town,Pizza,2,Packaging was damaged. Ordered Pizza.,2026-03-11
321,Taco Town,Sushi,1,Order was incorrect. Ordered Sushi.,2026-01-02
322,Spice Villa,Pasta,5,Easy ordering experience. Ordered Pasta.,2026-06-18
323,Biryani House,Burger,2,Packaging was damaged. Ordered Burger.,2026-06-12
324,Pizza Hub,Burger,3,Too expensive for the portion. Ordered Burger.,2026-02-25
325,Biryani House,Sandwich,5,Loved the quick delivery. Ordered Sandwich.,2026-03-29
326,Spice Villa,Sushi,5,Great customer service. Ordered Sushi.,2026-03-25
327,Burger Barn,Pizza,2,Packaging was damaged. Ordered Pizza.,2026-02-10
328,Pizza Hub,Burger,5,Great customer service. Ordered Burger.,2026-04-24
329,Biryani House,Coffee,5,Easy ordering experience. Ordered Coffee.,2026-04-24
330,Biryani House,Taco,5,Excellent taste and fresh food. Ordered Taco.,2026-05-12
331,Burger Barn,Sushi,1,App payment failed. Ordered Sushi.,2026-01-29
332,Taco Town,Coffee,3,Too expensive for the portion. Ordered Coffee.,2026-06-20
333,Taco Town,Pizza,5,Excellent taste and fresh food. Ordered Pizza.,2026-04-12
334,Pizza Hub,Pizza,5,Excellent taste and fresh food. Ordered Pizza.,2026-03-19
335,Cafe Aroma,Pasta,5,Great customer service. Ordered Pasta.,2026-03-16
336,Sushi Spot,Burger,2,Food arrived cold. Ordered Burger.,2026-05-08
