feedback_id,customer_id,restaurant_id,restaurant_name,city,rating,food_rating,delivery_rating,feedback_text,order_value,created_date,source,language
FB100228,CUS0048,RES001,BiryaniBox Vijayawada,Vijayawada,4,5,5,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",451,2024-02-27,Zomato,English
FB100229,CUS0049,RES002,BiryaniBox Guntur,Guntur,2,2,1,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Guntur branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",481,2024-04-01,Zomato,Telugu
FB100230,CUS0050,RES003,BiryaniBox Hyderabad,Hyderabad,3,3,4,"Dine-in card payment machine at BiryaniBox Hyderabad was slightly slow to connect to the network, but the transaction was completed after a brief wait. Cashless billing handled adequately. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1199,2024-03-04,Zomato,Hindi
FB100231,CUS0051,RES004,BiryaniBox Visakhapatnam,Visakhapatnam,4,5,4,"<br/>Visited BiryaniBox Visakhapatnam with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Visakhapatnam dining scene.",594,2024-07-03,Zomato,English
FB100232,CUS0052,RES005,BiryaniBox Bengaluru,Bengaluru,4,3,3,"Visited BiryaniBox Bengaluru with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Bengaluru dining scene.",1548,2024-04-21,Zomato,Telugu
FB100233,CUS0053,RES006,BiryaniBox Chennai,Chennai,2,3,3,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",947,2024-03-07,Zomato,Hindi
FB100234,CUS0054,RES007,BiryaniBox Pune,Pune,4,3,3,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Pune team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",1305,2024-05-24,Zomato,English
FB100235,CUS0055,RES008,BiryaniBox Mumbai,Mumbai,1,1,1,"DoUbLe pAyMeNt dEdUcTiOn eRrOr aT ChEcKoUt! ThE GaTeWaY FrOzE DuRiNg pRoCeSsInG, rEsUlTiNg iN DuPlIcAtE ChArGeS FoR A SiNgLe bIrYaNi oRdEr fRoM BiRyAnIbOx mUmBaI. bAnK CoNfIrMeD SuCcEsSfUl dEdUcTiOn, BuT ThE OrDeR StAtUs rEmAiNeD PeNdInG. fIx yOuR ApP PaYmEnT InTeGrAtIoN ImMeDiAtElY! fUrThErMoRe, ThE StAfF HyGiEnE StAnDaRdS AnD OvErAlL BrAnD CoNsIsTeNcY At bIrYaNiBoX MuMbAi rEmAiN CoMmEnDaBlE AcRoSs rEpEaT ViSiTs. We lOoK FoRwArD To oRdErInG OuR NeXt mEaL HeRe sOoN.",1093,2024-01-03,Zomato,Telugu
FB100236,CUS0056,RES001,BiryaniBox Vijayawada,Vijayawada,,5,5,"Prompt refund processing when an item was out of stock! The auto-refund was credited back to my UPI bank account within 10 minutes with clear SMS updates. Transparent financial handling that builds immense trust with customers in Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",419,2024-05-13,Zomato,Hindi
FB100237,CUS0057,RES002,BiryaniBox Guntur,Guntur,1,1,1,"Very poor packaging quality. The delivery bag arrived torn at the bottom due to grease leakage from unsealed biryani containers. The food was lukewarm and unhygienic because the lid had popped open during transport. Unacceptable quality standards for a reputed brand like BiryaniBox in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1447,2024-06-24,Zomato,English
FB100238,CUS0058,RES003,BiryaniBox Hyderabad,Hyderabad,3,4,2,"OrDeR PrEpArAtIoN ToOk aBoUt 20 MiNuTeS AfTeR SeAtInG. tHe sTaFf iNfOrMeD Us iN AdVaNcE AbOuT ThE PrEpArAtIoN TiMe fOr fReSh hAnDi bIrYaNi. WhIlE A BiT SlOw, ThE HoT FoOd mAdE ThE WaIt pAsSaBlE. fUrThErMoRe, ThE StAfF HyGiEnE StAnDaRdS AnD OvErAlL BrAnD CoNsIsTeNcY At bIrYaNiBoX HyDeRaBaD ReMaIn cOmMeNdAbLe aCrOsS RePeAt vIsItS. wE LoOk fOrWaRd tO OrDeRiNg oUr nExT MeAl hErE SoOn.",781,2024-01-16,Zomato,Telugu
FB100239,CUS0059,RES004,BiryaniBox Visakhapatnam,Visakhapatnam,5,4,5,"Ordered dinner through the mobile app from the Visakhapatnam outlet. The Chicken 65 Biryani combo was absolutely delicious, brimming with authentic Hyderabadi flavor and freshly fried curry leaves. Basmati grains were long, separate, and fragrant. Packaging kept the meal piping hot until it reached our doorstep. It is rare to find such consistent quality across repeat orders. BiryaniBox has earned a loyal customer in me.",849,2024-06-07,Zomato,Hindi
FB100240,CUS0060,RES005,BiryaniBox Bengaluru,Bengaluru,5,4,5,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Bengaluru. Even during a long transit across Bengaluru, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience. http://biryanibox.com/feedback-ref?id=9281",695,2024-06-29,Zomato,English
FB100241,CUS0061,RES006,BiryaniBox Chennai,Chennai,5,5,4,"Had an incredible dine-in experience at BiryaniBox Chennai! The waitstaff was exceptionally polite, welcoming, and attentive to our family's needs throughout dinner. The restaurant captain patiently guided us through the menu options and customized the spice level for our children. Service was prompt, hygienic, and courteous. Outstanding hospitality that sets a benchmark in Chennai.",1160,2024-03-23,Zomato,Telugu
FB100242,CUS0062,RES007,BiryaniBox Pune,Pune,3,3,3,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Pune. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",598,2024-01-21,Zomato,Hindi
FB100243,CUS0063,RES008,BiryaniBox Mumbai,Mumbai,3,2,3,"Tried the Veg Paneer Biryani and Chicken Starters at BiryaniBox Mumbai. The paneer cubes were soft and well-marinated, though the rice lacked the rich ghee aroma seen in signature dishes. Portion size was reasonable for the price. Service was average and the food was passable, making it a fair option when craving a fast biryani meal in Mumbai.",1396,2024-02-24,Zomato,English
FB100244,CUS0064,RES001,BiryaniBox Vijayawada,Vijayawada,5,4,5,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Vijayawada has never been easier or faster. Kudos to the tech development team!",1509,2024-01-08,Zomato,Telugu
FB100245,CUS0065,RES002,BiryaniBox Guntur,Guntur,1,1,1,"Location GPS auto-detect places the delivery pin miles away from my actual residence in Guntur, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1061,2024-06-03,Zomato,Hindi
FB100246,CUS0066,RES003,BiryaniBox Hyderabad,Hyderabad,2,2,2,"Frequent app glitches and login errors! My saved addresses and loyalty points vanished after the latest app update. Customer support chat feature within the app loops endlessly without connecting to an agent. Unusable mobile application! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1221,2024-03-06,Zomato,English
FB100247,CUS0067,RES004,BiryaniBox Visakhapatnam,Visakhapatnam,1,1,1,"The Chicken Dum Biryani delivered today from BiryaniBox Visakhapatnam was dripping in excess oil, making the bottom layer of rice completely soggy. The spices tasted raw and unblended, causing severe stomach discomfort later in the evening. Quality has visibly declined at the Visakhapatnam branch over recent months. I cannot recommend this place until strict quality standards are restored.",664,2024-07-05,Zomato,Telugu
FB100248,CUS0068,RES005,BiryaniBox Bengaluru,Bengaluru,5,5,5,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Bengaluru effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.",858,2024-02-16,Zomato,Hindi
FB100249,CUS0069,RES006,BiryaniBox Chennai,Chennai,4,5,4,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Chennai team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",1529,2024-03-29,Zomato,English
FB100250,CUS0070,RES007,BiryaniBox Pune,Pune,,4,4,"The restaurant personnel at BiryaniBox Pune were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1179,2024-01-04,Zomato,Telugu
FB100251,CUS0071,RES008,BiryaniBox Mumbai,Mumbai,4,4,4,"The resturant personnel at biryaniiBox Mumbai were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal wating time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1538,2024-07-04,Zomato,Hindi
FB100252,CUS0072,RES001,BiryaniBox Vijayawada,Vijayawada,1,1,1,"Extremely disappointed with our dinner order from BiryaniBox Vijayawada. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Vijayawada branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",815,2024-06-21,Zomato,English
FB100253,CUS0073,RES002,BiryaniBox Guntur,Guntur,1,1,1,"Extremely poor value for money. The portion size delivered today was barely enough for one person despite paying for a 'Special Jumbo' pack. High prices combined with mediocre food quality make BiryaniBox Guntur uncompetitive compared to other top biryani spots in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",640,2024-03-29,Zomato,Telugu
FB100254,CUS0074,RES003,BiryaniBox Hyderabad,Hyderabad,4,5,3,"Superb tamper-proof packaging that guarantees hygiene and fresh food delivery. The aluminum handi box preserved the ghee aroma of the biryani perfectly. Starter containers had steam vents to prevent moisture buildup, keeping the chicken crisp. Excellent packaging standards that other restaurants in Hyderabad should emulate. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1364,2024-06-24,Zomato,Hindi
FB100255,CUS0075,RES004,BiryaniBox Visakhapatnam,Visakhapatnam,5,4,5,"Visited BiryaniBox Visakhapatnam with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Visakhapatnam dining scene.",1302,2024-06-16,Zomato,English
FB100256,CUS0076,RES005,BiryaniBox Bengaluru,Bengaluru,5,5,5,"Affordable and satisfying meals for student groups and families alike. The portion size of the Special Dum biryanii is huge compared to competing resturants in Bengaluru. Combined with seasonal discounts and cashbacks, biryaniiBox offers the best value biryanii in town. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",979,2024-02-07,Zomato,Telugu
FB100257,CUS0077,RES006,BiryaniBox Chennai,Chennai,3,2,3,"Dine-in card payment machine at BiryaniBox Chennai was slightly slow to connect to the network, but the transaction was completed after a brief wait. Cashless billing handled adequately. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon. 🍗🔥😋💯",761,2024-02-06,Zomato,Hindi
FB100258,CUS0078,RES007,BiryaniBox Pune,Pune,5,4,5,"Visited BiryaniBox Pune with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Pune dining scene.",366,2024-02-08,Zomato,English
FB100259,CUS0079,RES008,BiryaniBox Mumbai,Mumbai,2,2,3,Overpriced and disappointing! Prices at BiryaniBox Mumbai have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Mumbai.,535,2024-04-14,Zomato,Telugu
FB100260,CUS0080,RES001,BiryaniBox Vijayawada,Vijayawada,2,2,1,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Vijayawada branch. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",581,2024-05-22,Zomato,Hindi
FB100261,CUS0081,RES002,BiryaniBox Guntur,Guntur,2,2,2,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",932,2024-01-06,Zomato,English
FB100262,CUS0082,RES003,BiryaniBox Hyderabad,Hyderabad,3,3,3,Overpriced and disappointing! Prices at BiryaniBox Hyderabad have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Hyderabad.,628,2024-03-25,Zomato,Telugu
FB100263,CUS0083,RES004,BiryaniBox Visakhapatnam,Visakhapatnam,,1,1,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Visakhapatnam branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1163,2024-03-06,Zomato,Hindi
