ticket_id,customer_id,restaurant_id,issue_category,priority,status,feedback_text,created_date,source
TCK10011,CUS0111,RES008,Delivery,Medium,In Progress,"Unacceptable delivery delay from BiryaniBox Mumbai! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Mumbai.",2024-01-10,Support Portal
TCK10012,CUS0112,RES001,Payment,Medium,Resolved,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryani order from BiryaniBox Vijayawada. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-16,Support Portal
TCK10013,CUS0113,RES002,Delivery,Critical,Closed,"Unacceptable delivery delay from BiryaniBox Guntur! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Guntur.",05-Jun-2024,Support Portal
TCK10014,CUS0114,RES003,Payment,Critical,Open,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryani order from BiryaniBox Hyderabad. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-10,Support Portal
TCK10015,CUS0115,RES004,Waiting Time,Critical,Closed,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Visakhapatnam branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-15,Support Portal
TCK10016,CUS0116,RES005,Waiting Time,Critical,In Progress,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-30,Support Portal
TCK10017,CUS0117,RES006,Packaging,Low,In Progress,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-21,Support Portal
TCK10018,CUS0118,RES007,Food Quality,Low,In Progress,"Received cold and stale biryanii from the Pune outlet. The chiken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryanii. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",2024-05-06,Support Portal
TCK10019,CUS0119,RES008,App Issues,Medium,In Progress,"Frequent app glitches and login errors! My saved addresses and loyalty points vanished after the latest app update. Customer support chat feature within the app loops endlessly without connecting to an agent. Unusable mobile application! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-23,Support Portal
TCK10020,CUS0120,RES001,Packaging,Medium,Resolved,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-19,Support Portal
TCK10021,CUS0121,RES002,Packaging,Medium,Resolved,"VeRy pOoR PaCkAgInG QuAlItY. tHe dElIvErY BaG ArRiVeD ToRn aT ThE BoTtOm dUe tO GrEaSe lEaKaGe fRoM UnSeAlEd bIrYaNi cOnTaInErS. tHe fOoD WaS LuKeWaRm aNd uNhYgIeNiC BeCaUsE ThE LiD HaD PoPpEd oPeN DuRiNg tRaNsPoRt. UnAcCePtAbLe qUaLiTy sTaNdArDs fOr a rEpUtEd bRaNd lIkE BiRyAnIbOx iN GuNtUr. FuRtHeRmOrE, tHe sTaFf hYgIeNe sTaNdArDs aNd oVeRaLl bRaNd cOnSiStEnCy aT BiRyAnIbOx gUnTuR ReMaIn cOmMeNdAbLe aCrOsS RePeAt vIsItS. wE LoOk fOrWaRd tO OrDeRiNg oUr nExT MeAl hErE SoOn.",2024-02-13,Support Portal
TCK10022,CUS0122,RES003,Food Quality,High,Open,"EXTREMELY DISAPPOINTED WITH OUR DINNER ORDER FROM BIRYANIBOX HYDERABAD. THE MUTTON BIRYANI RICE TASTED BURNT AND OVERCOOKED, WHILE THE MUTTON PIECES WERE TOUGH AND RUBBERY. THE SALAN WAS EXCESSIVELY SALTY AND VIRTUALLY INEDIBLE. WE EXPECTED HIGH STANDARDS FROM THE HYDERABAD BRANCH, BUT QUALITY CONTROL WAS COMPLETELY MISSING TODAY. WASTED OUR MONEY AND HAD TO ORDER FOOD ELSEWHERE. IMMEDIATE KITCHEN QUALITY INSPECTION IS REQUIRED.",2024-02-17,Support Portal
TCK10023,CUS0123,RES004,Delivery,Critical,Open,"Extremely poor delivery coordination. The rider assigned to our order got lost in Visakhapatnam and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly.",2024-01-24,Support Portal
TCK10024,CUS0124,RES005,Staff Behaviour,High,Open,"The management at the Bengaluru branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-24,Support Portal
TCK10025,CUS0125,RES006,Pricing,Critical,In Progress,"Extremely poor value for money. The portion size delivered today was barely enough for one person despite paying for a 'Special Jumbo' pack. High prices combined with mediocre food quality make biryaniiBox Chennai uncompetitive compared to other top biryanii spots in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-22,Support Portal
TCK10026,CUS0126,RES007,Staff Behaviour,High,Open,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Pune. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-07,Support Portal
TCK10027,,RES008,Pricing,Low,Resolved,Overpriced and disappointing! Prices at BiryaniBox Mumbai have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Mumbai.,2024-05-20,Support Portal
TCK10028,CUS0128,RES001,Delivery,Critical,Resolved,"Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delivery resulted in soggy starters and cold biryani. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-26,Support Portal
TCK10029,CUS0129,RES002,Packaging,Medium,Open,"   Disastrous  packaging  experience!  The  salan  container  burst  inside  the  bag  during  transit,  soaking  the  entire  parcel  in  oily  curry.  The  biryani  box  was  crushed,  and  the  raita  spilled  over  the  starters.  Opening  the  bag  was  a  complete  mess,  ruining  our  dining  table  and  wasting  half  the  food.  BiryaniBox  Guntur  needs  to  replace  these  cheap  plastic  lids  immediately.   ",2024-02-03,Support Portal
TCK10030,CUS0130,RES003,Pricing,Medium,Resolved,"Hidden charges and inflated prices ruined our ordering experience. The app displayed a lower price initially, but added excessive surge charges, packaging fees, and delivery markups at checkout. Not worth the steep cost for average tasting biryani. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon. www.swiggy.com/review/98214",2024-07-01,Support Portal
TCK10031,CUS0131,RES004,Payment,High,Closed,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryanii order from biryaniiBox Visakhapatnam. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-14,Support Portal
TCK10032,CUS0132,RES005,Packaging,Critical,Resolved,"Very poor packaging quality. The delivery bag arrived torn at the bottom due to grease leakage from unsealed biryani containers. The food was lukewarm and unhygienic because the lid had popped open during transport. Unacceptable quality standards for a reputed brand like BiryaniBox in Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-05,Support Portal
TCK10033,CUS0133,RES006,Packaging,High,Closed,"Disastrous packaging experience! The salan container burst inside the bag during transit, soaking the entire parcel in oily curry. The biryani box was crushed, and the raita spilled over the starters. Opening the bag was a complete mess, ruining our dining table and wasting half the food. BiryaniBox Chennai needs to replace these cheap plastic lids immediately.",2024-04-06,Support Portal
TCK10034,CUS0134,RES007,Delivery,Low,Open,"Extremely poor delivery coordination. The rider assigned to our order got lost in Pune and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly.",2024-03-11,Support Portal
TCK10035,CUS0135,RES008,Staff Behaviour,Critical,Closed,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Mumbai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-16,Support Portal
TCK10036,CUS0136,RES001,Food Quality,Critical,Closed,"The Chicken Dum Biryani delivered today from BiryaniBox Vijayawada was dripping in excess oil, making the bottom layer of rice completely soggy. The spices tasted raw and unblended, causing severe stomach discomfort later in the evening. Quality has visibly declined at the Vijayawada branch over recent months. I cannot recommend this place until strict quality standards are restored.",2024-02-11,Support Portal
TCK10037,CUS0137,RES002,App Issues,High,Closed,"Frequent app glitches and login errors! My saved addresses and loyalty points vanished after the latest app update. Customer support chat feature within the app loops endlessly without connecting to an agent. Unusable mobile application! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-12,Support Portal
TCK10038,CUS0138,RES003,Waiting Time,Critical,In Progress,"<br/>Exorbitant waiting time exceeding 50 minutes at BiryaniBox Hyderabad! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-05,Support Portal
TCK10039,CUS0139,RES004,Staff Behaviour,High,In Progress,"ThE MaNaGeMeNt aT ThE ViSaKhApAtNaM BrAnCh sHoWeD CoMpLeTe aPaThY WhEn wE PoInTeD OuT A WrOnG ItEm oN OuR BiLl. InStEaD Of rEcTiFyInG ThE BiLlInG ErRoR PoLiTeLy, ThE CaShIeR ArGuEd lOuDlY. sHoCkInG LaCk oF BaSiC HoSpItAlItY TrAiNiNg aT BiRyAnIbOx vIsAkHaPaTnAm. FuRtHeRmOrE, tHe sTaFf hYgIeNe sTaNdArDs aNd oVeRaLl bRaNd cOnSiStEnCy aT BiRyAnIbOx vIsAkHaPaTnAm rEmAiN CoMmEnDaBlE AcRoSs rEpEaT ViSiTs. We lOoK FoRwArD To oRdErInG OuR NeXt mEaL HeRe sOoN.",2024-07-18,Support Portal
TCK10040,CUS0140,RES005,Waiting Time,Low,In Progress,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Bengaluru! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-25,Support Portal
TCK10041,CUS0141,RES006,Food Quality,High,Closed,"Received cold and stale biryani from the Chennai outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",2024-02-17,Support Portal
TCK10042,CUS0142,RES007,Waiting Time,High,Open,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-21,Support Portal
TCK10043,CUS0143,RES008,Payment,Critical,Resolved,"Failed card transaction error on the POS machine at Mumbai branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-10,Support Portal
TCK10044,CUS0144,RES001,Food Quality,Low,Open,"Received cold and stale biryanii from the Vijayawada outlet. The chiken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryanii. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",2024-06-09,Support Portal
TCK10045,CUS0145,RES002,App Issues,Critical,Open,"Location GPS auto-detect places the delivery pin miles away from my actual residence in Guntur, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-17,Support Portal
TCK10046,CUS0146,RES003,Pricing,Critical,In Progress,"Extremely poor value for money. The portion size delivered today was barely enough for one person despite paying for a 'Special Jumbo' pack. High prices combined with mediocre food quality make BiryaniBox Hyderabad uncompetitive compared to other top biryani spots in Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-14,Support Portal
TCK10047,CUS0147,RES004,Delivery,Critical,Resolved,"Unacceptable delivery delay from BiryaniBox Visakhapatnam! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Visakhapatnam.",2024-07-16,Support Portal
TCK10048,CUS0148,RES005,Delivery,High,Resolved,"UNACCEPTABLE DELIVERY DELAY FROM BIRYANIBOX BENGALURU! THE ORDER ARRIVED 50 MINUTES LATE, TAKING OVER AN HOUR AND FIFTEEN MINUTES IN TOTAL. THE DELIVERY AGENT REFUSED TO ANSWER PHONE CALLS WHILE WE WAITED ANXIOUSLY. WHEN THE PARCEL FINALLY ARRIVED, THE BIRYANI WAS COMPLETELY COLD AND THE PAPER BAG WAS SOAKED IN SPILLED CURRY. TERRIBLE DELIVERY SERVICE THAT RUINED OUR EVENING PLANS IN BENGALURU.",2024-01-05,Support Portal
TCK10049,CUS0149,RES006,Food Quality,Critical,Resolved,"The Chicken Dum Biryani delivered today from BiryaniBox Chennai was dripping in excess oil, making the bottom layer of rice completely soggy. The spices tasted raw and unblended, causing severe stomach discomfort later in the evening. Quality has visibly declined at the Chennai branch over recent months. I cannot recommend this place until strict quality standards are restored.",2024-04-15,Support Portal
TCK10050,CUS0150,RES007,Delivery,Critical,Closed,"Unacceptable delvery delay from biryaniiBox Pune! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delvery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryanii was completely cold and the paper bag was soaked in spilled curry. Terrible delvery service that ruined our evening plans in Pune.",2024-01-11,Support Portal
TCK10051,CUS0151,RES008,Food Quality,Medium,Open,"The Chicken Dum Biryani delivered today from BiryaniBox Mumbai was dripping in excess oil, making the bottom layer of rice completely soggy. The spices tasted raw and unblended, causing severe stomach discomfort later in the evening. Quality has visibly declined at the Mumbai branch over recent months. I cannot recommend this place until strict quality standards are restored.",2024-01-01,Support Portal
TCK10052,CUS0152,RES001,App Issues,Low,Resolved,"Location GPS auto-detect places the delivery pin miles away from my actual residence in Vijayawada, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-30,Support Portal
TCK10053,CUS0153,RES002,App Issues,Low,Resolved,"Location GPS auto-detect places the delivery pin miles away from my actual residence in Guntur, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-21,Support Portal
TCK10054,CUS0154,RES003,Payment,Critical,In Progress,"Double payment deduction error at checkout! The gateway froze during processing, resulting in duplicate charges for a single biryani order from BiryaniBox Hyderabad. Bank confirmed successful deduction, but the order status remained pending. Fix your app payment integration immediately! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-02,Support Portal
TCK10055,CUS0155,RES004,Delivery,Critical,In Progress,"Unacceptable delivery delay from BiryaniBox Visakhapatnam! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Visakhapatnam. 😍🍚❤️",2024-02-25,Support Portal
TCK10056,CUS0156,RES005,Food Quality,Critical,In Progress,"   The  Chicken  Dum  Biryani  delivered  today  from  BiryaniBox  Bengaluru  was  dripping  in  excess  oil,  making  the  bottom  layer  of  rice  completely  soggy.  The  spices  tasted  raw  and  unblended,  causing  severe  stomach  discomfort  later  in  the  evening.  Quality  has  visibly  declined  at  the  Bengaluru  branch  over  recent  months.  I  cannot  recommend  this  place  until  strict  quality  standards  are  restored.   ",2024-07-21,Support Portal
TCK10057,CUS0157,RES006,Pricing,High,Resolved,Overpriced and disappointing! Prices at BiryaniBox Chennai have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Chennai.,10/02/2024,Support Portal
TCK10058,CUS0158,RES007,App Issues,Critical,Resolved,"Location GPS auto-detect places the delivery pin miles away from my actual residence in Pune, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon. 😍🍚❤️",2024-04-10,Support Portal
TCK10059,CUS0159,RES008,Waiting Time,Low,Closed,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Mumbai! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Mumbai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-09,Support Portal
TCK10060,CUS0160,RES001,App Issues,Critical,Closed,"<div class=""review-box"">Location GPS auto-detect places the delivery pin miles away from my actual residence in Vijayawada, leading to wrong address assignments and canceled orders. Terrible GPS mapping integration that frustrates customers. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.</div>",2024-03-04,Support Portal
TCK10061,CUS0161,RES002,Waiting Time,Medium,In Progress,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Guntur! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-20,Support Portal
TCK10062,CUS0162,RES003,Pricing,High,Open,"Hidden charges and inflated prices ruined our ordering experience. The app displayed a lower price initially, but added excessive surge charges, packaging fees, and delivery markups at checkout. Not worth the steep cost for average tasting biryani. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon. 😍🍚❤️",2024-03-29,Support Portal
TCK10063,CUS0163,RES004,Food Quality,Low,Open,"Extremely disappointed with our dinner order from biryaniiBox Visakhapatnam. The Mutton biryanii rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Visakhapatnam branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",2024-07-25,Support Portal
TCK10064,CUS0164,RES005,Packaging,High,Open,"Very poor packaging quality. The delivery bag arrived torn at the bottom due to grease leakage from unsealed biryani containers. The food was lukewarm and unhygienic because the lid had popped open during transport. Unacceptable quality standards for a reputed brand like BiryaniBox in Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-20,Support Portal
TCK10065,CUS0165,RES006,Staff Behaviour,Critical,In Progress,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-24,Support Portal
TCK10066,CUS0166,RES007,Waiting Time,Low,Open,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Pune branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-02,Support Portal
TCK10067,CUS0167,RES008,Food Quality,Low,Open,"Extremely disappointed with our dinner order from BiryaniBox Mumbai. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Mumbai branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",2024-03-02,Support Portal
