survey_id,customer_id,restaurant_id,satisfaction_score,recommend_score,food_quality,service_quality,cleanliness,feedback_text,created_date,source
SUR10026,CUS0106,RES003,1,6,1,1,1,"Hidden charges and inflated prices ruined our ordering experience. The app displayed a lower price initially, but added excessive surge charges, packaging fees, and delivery markups at checkout. Not worth the steep cost for average tasting biryani. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-12,Customer Survey
SUR10027,CUS0107,RES004,5,3,5,5,4,"Prompt refund processing when an item was out of stock! The auto-refund was credited back to my UPI bank account within 10 minutes with clear SMS updates. Transparent financial handling that builds immense trust with customers in Visakhapatnam. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-13,Customer Survey
SUR10028,CUS0108,RES005,5,1,5,5,4,"The packaging quality from BiryaniBox Bengaluru is top-class! They use sturdy, eco-friendly tin containers with tamper-evident seals that lock in the heat and aroma effectively. The salan and raita were sealed in thick spill-proof pouches, preventing any messy leaks inside the outer paper bag. Unboxing felt premium and hygienic. Very impressed with the attention to packaging detail in Bengaluru.",2024-03-29,Customer Survey
SUR10029,CUS0109,RES006,2,8,2,2,1,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Chennai! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-19,Customer Survey
SUR10030,CUS0110,RES007,5,6,5,5,4,"   Exceptional  value  for  money  at  BiryaniBox  Pune!  The  family  biryani  combo  easily  fed  four  adults  with  generous  portions  of  juicy  chicken,  fragrant  rice,  two  starters,  and  desserts.  Applying  the  promotional  coupon  on  the  app  gave  us  a  flat  20%  discount,  making  the  meal  amazingly  affordable.  Outstanding  price-to-quality  ratio  in  Pune.  Highly  recommended!   ",2024-02-16,Customer Survey
SUR10031,CUS0111,RES008,5,4,5,5,5,"Impressed by the ultra-fast delivery service from BiryaniBox Mumbai! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Mumbai.",2024-05-05,Customer Survey
SUR10032,CUS0112,RES001,5,1,5,5,5,"Ordered dinner through the mobile app from the Vijayawada outlet. The Chicken 65 Biryani combo was absolutely delicious, brimming with authentic Hyderabadi flavor and freshly fried curry leaves. Basmati grains were long, separate, and fragrant. Packaging kept the meal piping hot until it reached our doorstep. It is rare to find such consistent quality across repeat orders. BiryaniBox has earned a loyal customer in me. 🛵💨⚡",2024-07-02,Customer Survey
SUR10033,CUS0113,RES002,3,1,3,3,2,"Staff conduct was fair. The waiter took our order accurately, though getting water refills required multiple reminders. Respectful behavior overall, but responsiveness during rush hours could be improved. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-08,Customer Survey
SUR10034,CUS0114,RES003,3,4,3,3,2,"The payment process was straightforward. Used credit card at checkout with normal verification steps. No special discount codes were active for my card issuer today, but checkout was completed without issues. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon. 🤢🤮👎",2024-07-04,Customer Survey
SUR10035,CUS0115,RES004,3,3,4,3,3,"Tried the Veg Paneer Biryani and Chicken Starters at BiryaniBox Visakhapatnam. The paneer cubes were soft and well-marinated, though the rice lacked the rich ghee aroma seen in signature dishes. Portion size was reasonable for the price. Service was average and the food was passable, making it a fair option when craving a fast biryani meal in Visakhapatnam.",2024-04-19,Customer Survey
SUR10036,CUS0116,RES005,2,3,2,2,2,"Failed card transaction error on the POS machine at Bengaluru branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-22,Customer Survey
SUR10037,CUS0117,RES006,3,4,4,3,2,"Tried the Veg Paneer Biryani and Chicken Starters at BiryaniBox Chennai. The paneer cubes were soft and well-marinated, though the rice lacked the rich ghee aroma seen in signature dishes. Portion size was reasonable for the price. Service was average and the food was passable, making it a fair option when craving a fast biryani meal in Chennai.",2024-03-02,Customer Survey
SUR10038,CUS0118,RES007,5,3,5,5,4,"Zero waiting time on a busy Friday night at BiryaniBox Pune! We were seated immediately upon arrival, and our order of Special Mutton Biryani was served piping hot within 10 minutes. The kitchen operates with incredible speed and efficiency in Pune. Outstanding table turnover and kitchen management! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-21,Customer Survey
SUR10039,CUS0119,RES008,1,5,2,1,1,"The BiryaniBox app is plagued with severe bugs! It crashed three times while selecting delivery address in Mumbai, resetting my cart contents repeatedly. When I attempted payment, the screen froze on a blank white box. Worst user experience on Android. Please release an urgent bug fix update! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-10,Customer Survey
SUR10040,CUS0120,RES001,3,8,4,3,2,"The food arrived in decent condition. Container seals held up during transit, though the outer bag showed slight oil marks near the base. Food remained warm enough to eat without reheating. Average packaging quality that gets the job done for routine takeaway orders. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-02,Customer Survey
SUR10041,CUS0121,RES002,2,4,2,2,1,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Guntur! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-25,Customer Survey
SUR10042,CUS0122,RES003,3,7,4,3,2,"Packaging from BiryaniBox Hyderabad was standard plastic containers inside a paper bag. The lid on the raita cup was slightly loose, causing minor condensation, but no major spillage occurred. Cutlery was provided as requested. Decent packaging overall, though upgrading to eco-friendly biodegradable boxes would be a welcome improvement for the Hyderabad outlet. 😍🍚❤️",2024-05-28,Customer Survey
SUR10043,CUS0123,RES004,4,7,5,4,4,"We ordered the Hyderabadi Chicken Dum Biryani and Special Boneless Starter from the Visakhapatnam branch for a weekend family gathering. The aromatic basmati rice was cooked to perfection with rich ghee, cardamom, and authentic spices that elevated every bite. The chicken pieces were remarkably juicy and tender throughout. The mirchi ka salan and refreshing curd raita complemented the main dish beautifully. Portion size was very generous, easily satisfying our entire group. We will definitely order again soon.",2024-03-04,Customer Survey
SUR10044,CUS0124,RES005,4,3,5,4,4,"Affordable and satisfying meals for student groups and families alike. The portion size of the Special Dum Biryani is huge compared to competing restaurants in Bengaluru. Combined with seasonal discounts and cashbacks, BiryaniBox offers the best value biryani in town. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-25,Customer Survey
SUR10045,CUS0125,RES006,3,10,4,3,2,"Dine-in card payment machine at BiryaniBox Chennai was slightly slow to connect to the network, but the transaction was completed after a brief wait. Cashless billing handled adequately. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-09,Customer Survey
SUR10046,CUS0126,RES007,3,7,3,3,2,"Moderate pricing. A single biryani combo costs around 350 INR, which is acceptable given the food quality. However, beverages and extra side gravies feel somewhat overpriced. Fair value overall for occasional family orders. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-10,Customer Survey
SUR10047,CUS0127,RES008,5,6,5,5,5,"Impressed by the ultra-fast delivery service from BiryaniBox Mumbai! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Mumbai. 🤢🤮👎",2024-07-07,Customer Survey
SUR10048,CUS0128,RES001,2,2,3,2,1,"Extremely disappointed with our dinner order from BiryaniBox Vijayawada. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Vijayawada branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",2024-07-04,Customer Survey
SUR10049,CUS0129,RES002,3,7,3,3,2,"Decent app design. Cart creation and coupon application work fine, though push notifications regarding promotions are a bit too frequent. A setting to customize notification preferences would be appreciated. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-12,Customer Survey
SUR10050,CUS0130,RES003,3,1,3,3,3,"App functionality is standard. Search feature works, though filtering by dietary preferences (Veg/Non-Veg) could be placed more prominently on the home screen. Acceptable performance without major glitches. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-19,Customer Survey
SUR10051,CUS0131,RES004,,10,5,4,4,"<br/>Very reasonable pricing considering the premium basmati rice, high quality ingredients, and generous portion sizes. The executive lunch box is priced perfectly for working professionals in Visakhapatnam. Great combo offers and loyalty reward discounts make dining at BiryaniBox Visakhapatnam worth every single rupee spent. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-17,Customer Survey
SUR10052,CUS0132,RES005,2,6,3,2,1,"The management at the Bengaluru branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-20,Customer Survey
SUR10053,CUS0133,RES006,5,3,5,5,5,"Superb tamper-proof packaging that guarantees hygiene and fresh food delivery. The aluminum handi box preserved the ghee aroma of the biryani perfectly. Starter containers had steam vents to prevent moisture buildup, keeping the chicken crisp. Excellent packaging standards that other restaurants in Chennai should emulate. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-09,Customer Survey
SUR10054,CUS0134,RES007,1,9,2,1,0,"Extremely poor value for money. The portion size delivered today was barely enough for one person despite paying for a 'Special Jumbo' pack. High prices combined with mediocre food quality make BiryaniBox Pune uncompetitive compared to other top biryani spots in Pune. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-10,Customer Survey
SUR10055,CUS0135,RES008,5,8,5,5,4,"Visited BiryaniBox Mumbai with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Mumbai dining scene.",2024-02-19,Customer Survey
SUR10056,CUS0136,RES001,1,5,1,1,0,"Received cold and stale biryani from the Vijayawada outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",2024-02-15,Customer Survey
SUR10057,CUS0137,RES002,1,6,2,1,1,"Unacceptable delivery delay from BiryaniBox Guntur! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Guntur.",2024-06-17,Customer Survey
SUR10058,CUS0138,RES003,2,7,3,2,1,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-10,Customer Survey
SUR10059,CUS0139,RES004,1,10,1,1,0,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Visakhapatnam. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",13/02/2024,Customer Survey
SUR10060,,RES005,2,10,3,2,1,"Extremely poor delivery coordination. The rider assigned to our order got lost in Bengaluru and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly.",21-May-2024,Customer Survey
SUR10061,CUS0141,RES006,2,8,3,2,2,"Received cold and stale biryani from the Chennai outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",2024-07-02,Customer Survey
SUR10062,CUS0142,RES007,5,6,5,5,5,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Pune has never been easier or faster. Kudos to the tech development team!",2024-06-10,Customer Survey
SUR10063,CUS0143,RES008,2,8,2,2,1,"<br/>Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Mumbai branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-27,Customer Survey
SUR10064,CUS0144,RES001,4,8,4,4,4,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Vijayawada. Even during a long transit across Vijayawada, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.",2024-01-16,Customer Survey
SUR10065,CUS0145,RES002,1,4,2,1,0,"Extremely disappointed with our dinner order from BiryaniBox Guntur. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Guntur branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required.",2024-01-02,Customer Survey
SUR10066,CUS0146,RES003,4,5,4,4,4,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-03,Customer Survey
SUR10067,CUS0147,RES004,4,6,5,4,4,"Ordered dinner through the mobile app from the Visakhapatnam outlet. The Chicken 65 Biryani combo was absolutely delicious, brimming with authentic Hyderabadi flavor and freshly fried curry leaves. Basmati grains were long, separate, and fragrant. Packaging kept the meal piping hot until it reached our doorstep. It is rare to find such consistent quality across repeat orders. BiryaniBox has earned a loyal customer in me.",2024-05-02,Customer Survey
SUR10068,CUS0148,RES005,2,6,3,2,1,"VeRy pOoR PaCkAgInG QuAlItY. tHe dElIvErY BaG ArRiVeD ToRn aT ThE BoTtOm dUe tO GrEaSe lEaKaGe fRoM UnSeAlEd bIrYaNi cOnTaInErS. tHe fOoD WaS LuKeWaRm aNd uNhYgIeNiC BeCaUsE ThE LiD HaD PoPpEd oPeN DuRiNg tRaNsPoRt. UnAcCePtAbLe qUaLiTy sTaNdArDs fOr a rEpUtEd bRaNd lIkE BiRyAnIbOx iN BeNgAlUrU. fUrThErMoRe, ThE StAfF HyGiEnE StAnDaRdS AnD OvErAlL BrAnD CoNsIsTeNcY At bIrYaNiBoX BeNgAlUrU ReMaIn cOmMeNdAbLe aCrOsS RePeAt vIsItS. wE LoOk fOrWaRd tO OrDeRiNg oUr nExT MeAl hErE SoOn.",2024-02-14,Customer Survey
SUR10069,CUS0149,RES006,1,6,1,1,0,"   Extremely  poor  value  for  money.  The  portion  size  delivered  today  was  barely  enough  for  one  person  despite  paying  for  a  'Special  Jumbo'  pack.  High  prices  combined  with  mediocre  food  quality  make  BiryaniBox  Chennai  uncompetitive  compared  to  other  top  biryani  spots  in  Chennai.  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Chennai  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ",2024-02-07,Customer Survey
SUR10070,CUS0150,RES007,4,7,5,4,3,"Impressed by the ultra-fast delivery service from BiryaniBox Pune! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Pune.",2024-04-01,Customer Survey
SUR10071,CUS0151,RES008,3,4,3,3,2,"Decent app design. Cart creation and coupon application work fine, though push notifications regarding promotions are a bit too frequent. A setting to customize notification preferences would be appreciated. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-15,Customer Survey
