request_id,customer_id,feature_category,feature_title,feedback_text,priority,created_date,source
REQ10026,CUS0166,App Functionality,Enhancement Request: App Functionality for BiryaniBox Pune,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-03-01,Feature Request Portal
REQ10027,CUS0167,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Mumbai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-03-23,Feature Request Portal
REQ10028,CUS0168,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Vijayawada,"The new biryaniiBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryanii in Vijayawada has never been easier or faster. Kudos to the tech development team!",Critical,2024-06-07,Feature Request Portal
REQ10029,CUS0169,Menu Options,Enhancement Request: Menu Options for BiryaniBox Guntur,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-03-11,Feature Request Portal
REQ10030,CUS0170,Payment Options,Enhancement Request: Payment Options for BiryaniBox Hyderabad,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-03-28,Feature Request Portal
REQ10031,CUS0171,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Visakhapatnam,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-03-20,Feature Request Portal
REQ10032,CUS0172,App Functionality,Enhancement Request: App Functionality for BiryaniBox Bengaluru,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-03-21,Feature Request Portal
REQ10033,CUS0173,Payment Options,Enhancement Request: Payment Options for BiryaniBox Chennai,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Chennai has never been easier or faster. Kudos to the tech development team!",High,2024-07-22,Feature Request Portal
REQ10034,CUS0174,Payment Options,Enhancement Request: Payment Options for BiryaniBox Pune,"FlAwLeSs dIgItAl eXpErIeNcE FrOm mEnU BrOwSiNg tO FiNaL PaYmEnT. tHe sEaRcH BaR AuTo-sUgGeStS PoPuLaR StArTeRs aNd cOmBoS InTeLlIgEnTlY. zErO BuGs oR CrAsHeS EnCoUnTeReD On aNdRoId. HiGhLy rEfInEd mObIlE ApP! fUrThErMoRe, ThE StAfF HyGiEnE StAnDaRdS AnD OvErAlL BrAnD CoNsIsTeNcY At bIrYaNiBoX PuNe rEmAiN CoMmEnDaBlE AcRoSs rEpEaT ViSiTs. We lOoK FoRwArD To oRdErInG OuR NeXt mEaL HeRe sOoN.",Low,2024-02-27,Feature Request Portal
REQ10035,CUS0175,Menu Options,Enhancement Request: Menu Options for BiryaniBox Mumbai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-07-21,Feature Request Portal
REQ10036,CUS0176,App Functionality,Enhancement Request: App Functionality for BiryaniBox Vijayawada,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-07-11,Feature Request Portal
REQ10037,CUS0177,Menu Options,Enhancement Request: Menu Options for BiryaniBox Guntur,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Guntur has never been easier or faster. Kudos to the tech development team!",Medium,2024-06-27,Feature Request Portal
REQ10038,CUS0178,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Hyderabad,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Hyderabad has never been easier or faster. Kudos to the tech development team!",High,2024-01-07,Feature Request Portal
REQ10039,CUS0179,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Visakhapatnam,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-02-29,Feature Request Portal
REQ10040,CUS0180,Payment Options,Enhancement Request: Payment Options for BiryaniBox Bengaluru,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-07-14,Feature Request Portal
REQ10041,CUS0181,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Chennai,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-06-01,Feature Request Portal
REQ10042,CUS0182,App Functionality,Enhancement Request: App Functionality for BiryaniBox Pune,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-04-08,Feature Request Portal
REQ10043,CUS0183,Menu Options,Enhancement Request: Menu Options for BiryaniBox Mumbai,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Mumbai has never been easier or faster. Kudos to the tech development team!",Low,2024-07-26,Feature Request Portal
REQ10044,CUS0184,Payment Options,Enhancement Request: Payment Options for BiryaniBox Vijayawada,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Vijayawada has never been easier or faster. Kudos to the tech development team!",High,2024-07-25,Feature Request Portal
REQ10045,CUS0185,Payment Options,Enhancement Request: Payment Options for BiryaniBox Guntur,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-03-22,Feature Request Portal
REQ10046,CUS0186,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Hyderabad,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Hyderabad has never been easier or faster. Kudos to the tech development team!",High,2024-04-13,Feature Request Portal
REQ10047,CUS0187,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Visakhapatnam,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-03-17,Feature Request Portal
REQ10048,CUS0188,Payment Options,Enhancement Request: Payment Options for BiryaniBox Bengaluru,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Bengaluru has never been easier or faster. Kudos to the tech development team!",High,2024-05-14,Feature Request Portal
REQ10049,CUS0189,App Functionality,Enhancement Request: App Functionality for BiryaniBox Chennai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-06-03,Feature Request Portal
REQ10050,CUS0190,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Pune,"Slick app experience with instant login via OTP. Saving favorite delvery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-02-19,Feature Request Portal
REQ10051,CUS0191,App Functionality,Enhancement Request: App Functionality for BiryaniBox Mumbai,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-01-13,Feature Request Portal
REQ10052,CUS0192,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Vijayawada,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Vijayawada has never been easier or faster. Kudos to the tech development team!",Medium,2024-02-22,Feature Request Portal
REQ10053,CUS0193,Menu Options,Enhancement Request: Menu Options for BiryaniBox Guntur,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Guntur has never been easier or faster. Kudos to the tech development team!",Low,2024-02-05,Feature Request Portal
REQ10054,CUS0194,App Functionality,Enhancement Request: App Functionality for BiryaniBox Hyderabad,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-04-17,Feature Request Portal
REQ10055,CUS0195,App Functionality,Enhancement Request: App Functionality for BiryaniBox Visakhapatnam,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-07-29,Feature Request Portal
REQ10056,CUS0196,Menu Options,Enhancement Request: Menu Options for BiryaniBox Bengaluru,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-03-09,Feature Request Portal
REQ10057,CUS0197,App Functionality,Enhancement Request: App Functionality for BiryaniBox Chennai,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-05-15,Feature Request Portal
REQ10058,CUS0198,App Functionality,Enhancement Request: App Functionality for BiryaniBox Pune,"   Flawless  digital  experience  from  menu  browsing  to  final  payment.  The  search  bar  auto-suggests  popular  starters  and  combos  intelligently.  Zero  bugs  or  crashes  encountered  on  Android.  Highly  refined  mobile  app!  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Pune  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ",High,2024-07-25,Feature Request Portal
REQ10059,CUS0199,App Functionality,Enhancement Request: App Functionality for BiryaniBox Mumbai,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Mumbai has never been easier or faster. Kudos to the tech development team!",Low,2024-03-14,Feature Request Portal
REQ10060,CUS0200,App Functionality,Enhancement Request: App Functionality for BiryaniBox Vijayawada,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-02-13,Feature Request Portal
REQ10061,CUS0201,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Guntur,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-01-13,Feature Request Portal
REQ10062,CUS0202,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Hyderabad,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Hyderabad has never been easier or faster. Kudos to the tech development team!",High,2024-06-15,Feature Request Portal
REQ10063,CUS0203,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Visakhapatnam,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-04-07,Feature Request Portal
REQ10064,CUS0204,Menu Options,Enhancement Request: Menu Options for BiryaniBox Bengaluru,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-06-03,Feature Request Portal
REQ10065,CUS0205,Payment Options,Enhancement Request: Payment Options for BiryaniBox Chennai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-05-18,Feature Request Portal
REQ10066,CUS0206,Payment Options,Enhancement Request: Payment Options for BiryaniBox Pune,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-05-06,Feature Request Portal
REQ10067,CUS0207,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Mumbai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-02-27,Feature Request Portal
REQ10068,CUS0208,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Vijayawada,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-04-30,Feature Request Portal
